id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
QzY57FaENXg,What are Convolutional Neural Networks (CNNs)?,"Convolutional neural networks, or CNNs, are distinguished from other neural networks by their superior performance with image, ...",,,0,"['Entertainment', 'memes']",27.0,
zfiSAzpy9NM,Simple explanation of convolutional neural network | Deep Learning Tutorial 23 (Tensorflow & Python),A very simple explanation of convolutional neural network or CNN or ConvNet such that even a high school student can ...,,,0,"['Entertainment', 'memes']",27.0,
HGwBXDKFk9I,Neural Networks Part 8: Image Classification with Convolutional Neural Networks (CNNs),"One of the coolest things that Neural Networks can do is classify images, and this is often done with a type of Neural Network ...",,,0,"['Entertainment', 'memes']",27.0,
pj9-rr1wDhM,Convolutional Neural Networks Explained (CNN Visualized),"Throughout this deep learning series, we have gone from the origins of the field and how the structure of the artificial neural ...",,,0,"['Entertainment', 'memes']",27.0,
py5byOOHZM8,CNN: Convolutional Neural Networks Explained - Computerphile,"Years of work down the drain, the convolutional neural network is a step change in image classification accuracy. Image Analyst ...",,,0,"['Entertainment', 'memes']",27.0,
YRhxdVk_sIs,Convolutional Neural Networks (CNNs) explained,"In this video, we explain the concept of convolutional neural networks, how they're used, and how they work on a technical level.",,,0,"['Entertainment', 'memes']",27.0,
2xqkSUhmmXU,MIT 6.S191 (2024): Convolutional Neural Networks,MIT Introduction to Deep Learning 6.S191: Lecture 3 Convolutional Neural Networks for Computer Vision Lecturer: Alexander ...,,,0,"['Entertainment', 'memes']",27.0,
8NbXFoVk1mo,Convolutional Neural Networks | Deep Learning Animated,In this video we will dive into the inner workings of Convolutional Neural Networks. These networks are one of the most widely ...,,,0,"['Entertainment', 'memes']",27.0,
UZDiGooFs54,The moment we stopped understanding AI [AlexNet],... Neural Network Videos https://www.youtube.com/watch?v=FwFduRA_L6Q https://www.youtube.com/watch?v=cNxadbrN_aI ...,,,0,"['Entertainment', 'memes']",27.0,
f0t-OCG79-U,Convolutional Neural Network Visualization by Otavio Good,"Cropped and edited video-only excerpt of a great talk given by Otavio Good. Full talk titled ""A visual and intuitive understanding of ...",,,0,"['Entertainment', 'memes']",27.0,
w4kNHKcBGzA,All Convolution Animations Are Wrong (Neural Networks),All the neural network 2d convolution animations you've seen are wrong. Check out my animations: https://animatedai.github.io/,,,0,"['Entertainment', 'memes']",27.0,
