id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
IHZwWFHWa-w,"Gradient descent, how neural networks learn | DL2","This video was supported by Amplify Partners. For any early-stage ML startup founders, Amplify Partners would love to hear from ...",,,0,"['Entertainment', 'memes']",27.0,
qg4PchTECck,Gradient Descent in 3 minutes,Visual and intuitive overview of the Gradient Descent algorithm. This simple algorithm is the backbone of most machine learning ...,,,0,"['Entertainment', 'memes']",27.0,
sDv4f4s2SB8,"Gradient Descent, Step-by-Step",Gradient Descent is the workhorse behind most of Machine Learning. When you fit a machine learning method to a training ...,,,0,"['Entertainment', 'memes']",27.0,
i62czvwDlsw,Gradient Descent Explained,Gradient descent is an optimization algorithm which is commonly-used to train machine learning models and neural networks.,,,0,"['Entertainment', 'memes']",27.0,
QoK1nNAURw4,Machine Learning Crash Course: Gradient Descent,Gradient descent is an algorithm used to train machine learning models by iteratively optimizing their parameter values. In this ...,,,0,"['Entertainment', 'memes']",27.0,
Anc2_mnb3V8,Gradient Descent vs Evolution | How Neural Networks Learn,Explore two learning algorithms for neural networks: stochastic gradient descent and an evolutionary algorithm known as a local ...,,,0,"['Entertainment', 'memes']",27.0,
UmathvAKj80,STOCHASTIC Gradient Descent (in 3 minutes),Visual and intuitive Overview of stochastic gradient descent in 3 minutes. ------------------- References: - The third explanation is ...,,,0,"['Entertainment', 'memes']",27.0,
AeRwohPuUHQ,22. Gradient Descent: Downhill to a Minimum,Gradient descent is the most common optimization algorithm in deep learning and machine learning. It only takes into account the ...,,,0,"['Entertainment', 'memes']",27.0,
QhSI9wo9f7I,IAIFI Colloquium: Many-Fold Learning,"Akshunna Dogra, Incoming IAIFI Fellow, (PhD Student, Imperial College London) Many-fold Learning Iterative optimization ...",,,0,"['Entertainment', 'memes']",27.0,
iudXf5n_3ro,MOMENTUM Gradient Descent (in 3 minutes),Learn how to use the idea of Momentum to accelerate Gradient Descent. ---------------- References: - Lectures on Convex ...,,,0,"['Entertainment', 'memes']",27.0,
vMh0zPT0tLI,"Stochastic Gradient Descent, Clearly Explained!!!","Even though Stochastic Gradient Descent sounds fancy, it is just a simple addition to ""regular"" Gradient Descent. This video sets ...",,,0,"['Entertainment', 'memes']",27.0,
FpDsDn-fBKA,Tutorial 12- Stochastic Gradient Descent vs Gradient Descent,"Below are the various playlist created on ML,Data Science and Deep Learning. Please subscribe and support the channel. Happy ...",,,0,"['Entertainment', 'memes']",27.0,
Souzjv6WfrY,Building the Gradient Descent Algorithm in 15 Minutes | Coding Challenge,"What's happening guys, welcome to the second episode of CodeThat! In this ep I try to build a regression machine learning model ...",,,0,"['Entertainment', 'memes']",27.0,
vsWrXfO3wWw,Machine Learning Tutorial Python - 4: Gradient Descent and Cost Function,"In this tutorial, we are covering few important concepts in machine learning such as cost function, gradient descent, learning rate ...",,,0,"['Entertainment', 'memes']",27.0,
gzrQvzYEvYc,Gradient descent simple explanation|gradient descent machine learning|gradient descent algorithm,"Gradient descent simple explanation | gradient descent machine learning | gradient descent algorithm Welcome! I'm Aman, a ...",,,0,"['Entertainment', 'memes']",27.0,
fXQXE96r4AY,Intro to Gradient Descent || Optimizing High-Dimensional Equations,How can we find maximums and minimums for complicated functions with an enormous number of variables like you might get ...,,,0,"['Entertainment', 'memes']",27.0,
pXGBHV3y8rs,"Gradient Descent For Neural Network | Deep Learning Tutorial 12 (Tensorflow2.0, Keras & Python)",Gradient descent is the heart of all supervised learning models. It is important to understand this technique if you are pursuing a ...,,,0,"['Entertainment', 'memes']",27.0,
BQW7sYAO_AA,Gradient Descent explained in 5 minutes.,Gradient Descent is one of the most important concept in machine learning. In this video you will find a simple and pragmatic ...,,,0,"['Entertainment', 'memes']",27.0,
_QzwKfQ3b8Y,Gradient Descent in 100 Seconds,Gradient Descent in 100 Seconds Dive into the fundamental optimization algorithm powering modern AI in just 100 seconds!,,,0,"['Entertainment', 'memes']",27.0,
giZD8yzXEZ4,Deep Learning(CS7015): Lec 3.4 Learning Parameters: Gradient Descent,lec03mod04.,,,0,"['Entertainment', 'memes']",27.0,
yi8vowoMbxk,Free Core ML Classification Course for Beginners,"This free course covers: • Real-world pattern recognition → classification thinking • Sigmoid, log loss, and gradient descent (with a ...",,,0,"['Entertainment', 'memes']",27.0,
XdWFHKQw6HI,Tutorial-27:Vanishing gradient problem in neural networks |Deep Learning,#VanishingGradient #ExplodingGradient #NeuralNetworks #GradientDescent #Backpropagation #MLProblems #AITraining ...,,,0,"['Entertainment', 'memes']",27.0,
GdGzclW78aI,"CS769 Lecture 20 Project GD, Karush Kuhn Tucker Conditions & Duality, Submodular Fns & Properties","CS769 2025 Lecture 20: Project Gradient Descent, Karush Kuhn Tucker Conditions and Duality, Further results in Discrete ...",,,0,"['Entertainment', 'memes']",27.0,
yRsRu4sGdQw,Understanding Custom Gradient Descent in PyTorch,"Dive into building your custom `gradient descent` algorithm using PyTorch. Understand the forward and backward passes, with ...",,,0,"['Entertainment', 'memes']",27.0,
UfvGq9q87q4,"Gradient Descent:Learning Rate, Gradient vector",20250414.,,,0,"['Entertainment', 'memes']",27.0,
tQYwjzrixDU,Convex Optimization 2025: Class 22,"SVM, Exponential gradient descent.",,,0,"['Entertainment', 'memes']",27.0,
D3AGw8QzjuE,Tutorial-27:Vanishing gradient problem in neural networks |Deep Learning|Telugu,#VanishingGradient #ExplodingGradient #NeuralNetworks #GradientDescent #Backpropagation #MLProblems #AITraining ...,,,0,"['Entertainment', 'memes']",27.0,
YS_EztqZCD8,Gradient Descent | Neural Networks,First Principles of Computer Vision is a lecture series presented by Shree Nayar who is faculty in the Computer Science ...,,,0,"['Entertainment', 'memes']",27.0,
