id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
FgakZw6K1QQ,"StatQuest: Principal Component Analysis (PCA), Step-by-Step","Principal Component Analysis, is one of the most useful data analysis and machine learning methods out there. It can be used to ...",,,0,"['Entertainment', 'memes']",27.0,
FD4DeN81ODY,Principal Component Analysis (PCA),This video is gentle and motivated introduction to Principal Component Analysis (PCA). We use PCA to analyze the 2021 World ...,,,0,"['Entertainment', 'memes']",27.0,
HMOI_lkzW08,StatQuest: PCA main ideas in only 5 minutes!!!,The main ideas behind PCA are actually super simple and that means it's easy to interpret a PCA plot: Samples that are correlated ...,,,0,"['Entertainment', 'memes']",27.0,
TJdH6rPA-TI,Data Analysis 6: Principal Component Analysis (PCA) - Computerphile,This series was made possible by sponsorship from by Google. The music dataset can be found here: https://github.com/mdeff/fma ...,,,0,"['Entertainment', 'memes']",27.0,
ZgyY3JuGQY8,Principal Component Analysis (PCA) Explained: Simplify Complex Data for Machine Learning,Discover how Principal Component Analysis (PCA) can simplify complex data sets and improve your machine learning models.,,,0,"['Entertainment', 'memes']",27.0,
5vgP05YpKdE,Principal Component Analysis (PCA) - easy and practical explanation,-------------------------------------------------------------------------------------------------------------------- Watched it already? If you liked this video ...,,,0,"['Entertainment', 'memes']",27.0,
fkf4IBRSeEc,Principal Component Analysis (PCA),"Principal component analysis (PCA) is a workhorse algorithm in statistics, where dominant correlation patterns are extracted from ...",,,0,"['Entertainment', 'memes']",27.0,
g-Hb26agBFg,Principal Component Analysis (PCA),Announcement: New Book by Luis Serrano! Grokking Machine Learning. bit.ly/grokkingML 40% discount code: serranoyt A ...,,,0,"['Entertainment', 'memes']",27.0,
I0ENqQ5e9KQ,Interpretation of Exploratory Factor Analysis (EFA) in R Studio,"In this video, we focus on the interpretation of Exploratory Factor Analysis (EFA) results in R Studio, helping you understand how ...",,,0,"['Entertainment', 'memes']",27.0,
8klqIM9UvAc,Machine Learning Tutorial Python - 19: Principal Component Analysis (PCA) with Python Code,PCA or principal component analysis is a dimensionality reduction technique that can help us reduce dimensions of dataset that ...,,,0,"['Entertainment', 'memes']",27.0,
Dv-Kk7PDEas,Principal Component Analysis (PCA) Explained | Machine Learning,"In this video, we explain how Principal Component Analysis (PCA) works and how it's used for dimensionality reduction. Learn ...",,,0,"['Entertainment', 'memes']",27.0,
pmG4K79DUoI,Basics of PCA (Principal Component Analysis) : Data Science Concepts,"Gentle Intro to Principal Component Analysis (PCA) --- Like, Subscribe, and Hit that Bell to get all the latest videos from ritvikmath ...",,,0,"['Entertainment', 'memes']",27.0,
dhK8nbtii6I,Principal Component Analysis (The Math) : Data Science Concepts,"Let's explore the math behind principal component analysis! --- Like, Subscribe, and Hit that Bell to get all the latest videos from ...",,,0,"['Entertainment', 'memes']",27.0,
rdzk7Ps7QFk,Introduction to Principal Component Analysis (PCA) #pca #principalcomponentanalysis #eigenvalues,"This video provides an introduction to Principal Component Analysis (PCA). It details the origin, relevance, importance and usage ...",,,0,"['Entertainment', 'memes']",27.0,
8CKsn2nauLU,How to Create Index Using Principal Component Analysis #pca #index #principalcomponentanalysis,"CrunchEconometrix videos should be supported by relevant readings from econometrics textbooks, journal articles and other ...",,,0,"['Entertainment', 'memes']",27.0,
nEvKduLXFvk,Visualizing Principal Component Analysis (PCA),This video is an intuitive intro the Principal Component Analysis (PCA). PCA is a fundamental unsupervised machine learning ...,,,0,"['Entertainment', 'memes']",27.0,
_UVHneBUBW0,Principal Component Analysis (PCA) clearly explained (2015),"RNA-seq results often contain a PCA or MDS plot. This StatQuest explains how these graphs are generated, how to interpret them ...",,,0,"['Entertainment', 'memes']",27.0,
H99JRtDDnvk,PCA Indepth Geometric And Mathematical InDepth Intuition ML Algorithms,github Materials: https://github.com/krishnaik06/PCA-Geometrical-And-Mathematical-Intuition Principal component analysis (PCA) ...,,,0,"['Entertainment', 'memes']",27.0,
ZtS6sQUAh0c,1 Principal Component Analysis | PCA | Dimensionality Reduction in Machine Learning by Mahesh Huddar,1. Principal Component Analysis | PCA | Dimensionality Reduction in Machine Learning by Mahesh Huddar PCA Algorithm: ...,,,0,"['Entertainment', 'memes']",27.0,
iRbsBi5W0-c,Principle Component Analysis (PCA) | Part 1 | Geometric Intuition,This video focuses on providing a clear geometric intuition behind PCA. Learn the basics and set the foundation for understanding ...,,,0,"['Entertainment', 'memes']",27.0,
dz8imS1vwIM,PCA : the basics - explained super simple,"In this video, I will show how variables can be combined in different ways and how PCA combines variables. At the end of this ...",,,0,"['Entertainment', 'memes']",27.0,
Up46jS_Tb1s,Lec 45: Principle component analysis,Prof. Biplab Bose Department of Biotechnology and Bioengineering Mehta Family School of Data Science and Artificial ...,,,0,"['Entertainment', 'memes']",27.0,
FyVCyjna97U,Principal Component Analysis | Machine Learning Tutorial | Tutorialspoint,Timestamps 0:39 Dimensionality Reduction 1:43 Why Dimensionality Reduction? 2:22 Principal Component Analysis 4:16 PCA ...,,,0,"['Entertainment', 'memes']",27.0,
kw9R0nD69OU,Principal Components Analysis - Georgia Tech - Machine Learning,Check out the full Advanced Operating Systems course for free at: https://www.udacity.com/course/ud262 Georgia Tech online ...,,,0,"['Entertainment', 'memes']",27.0,
JzVOU-AjpL8,AD23304 UNIT 2 Basics of principal component analysis @ComputerScienceEng,Basics of principal component analysis in fundamental of data science #trending #tutorial #ds #ai.,,,0,"['Entertainment', 'memes']",27.0,
irA-NBq-lCk,PCA Principle component Analysis In machine learning using MATLAB dimension reduction concept in ml,clc; clear; % Load Iris Dataset load fisheriris X = meas; % Features Y = species; % Labels % Apply PCA to reduce to 2 ...,,,0,"['Entertainment', 'memes']",27.0,
