id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
UukVP7Mg3TU,Calculus - Introduction to Calculus,This video will give you a brief introduction to calculus. It does this by explaining that calculus is the mathematics of change.,,,0,"['Education', 'maths']",27.0,
Kss13U-hvPk,Calculus in a nutshell,"What is calculus? A concoction of graphs, slopes, areas, weird symbols, and incomprehensible formulas? This 3-minute video, ...",,,0,"['Education', 'maths']",27.0,
fBPxOE_PmP0,Calculus is Beautiful If The Teacher Is Good!,"Your support makes all the difference! By joining my Patreon, you'll help sustain and grow the content you love ...",,,0,"['Education', 'maths']",27.0,
L4d-bUcIAe4,Gravityക്ക് വേണ്ടിയുള്ള Newtonൻ്റെ കണക്കിലെ സൂത്രം. എന്താണ് Calculus? Simple Explanation.,Newton's Secret Weapon: How He Calculated Gravity! Did you know that Newton needed a whole new branch of mathematics ...,,,0,"['Education', 'maths']",27.0,
MO-AExWdl4Q,Calculus Visualized - by Dennis F Davis,"This 3-hour video covers most concepts in the first two semesters of calculus, primarily Differentiation and Integration. The visual ...",,,0,"['Education', 'maths']",27.0,
WUvTyaaNkzM,The essence of calculus,"In this first video of the series, we see how unraveling the nuances of a simple geometry question can lead to integrals, derivatives ...",,,0,"['Education', 'maths']",27.0,
rnlBJNdKTGY,Calculus: ∫ (x-√(x^2+1))^2025 dx - Integration by hyperbolic substitution - For special Year 2025,Here is the technique to solve this question and how to find them in step-by-step.,,,0,"['Education', 'maths']",27.0,
WsQQvHm4lSw,Understand Calculus in 35 Minutes,"This video makes an attempt to teach the fundamentals of calculus 1 such as limits, derivatives, and integration. It explains how to ...",,,0,"['Education', 'maths']",27.0,
0KWYXvaMpuI,"Area between two curves – Calculus, Integrals",In this math video I (Susanne) explain how to find the area between two curves in calculus. We calculate the intersection points ...,,,0,"['Education', 'maths']",27.0,
1bH_ukYn81c,Calculus Is Overrated – It is Just Basic Math,BASIC Math Calculus – AREA of a Triangle - Understand Simple Calculus with just Basic Math! Calculus | Integration | Derivative ...,,,0,"['Education', 'maths']",27.0,
1kRxn2k2pOo,"Believe in calculus, NOT calculators!",Let's see how to use calculus to approximate the square root of a non-perfect square number! We will approximate sqrt(10) and ...,,,0,"['Education', 'maths']",27.0,
kuOxDh3egN0,Why is calculus so ... EASY ?,"Calculus made easy, the Mathologer way :) 00:00 Intro 00:49 Calculus made easy. Silvanus P. Thompson comes alive 03:12 Part ...",,,0,"['Education', 'maths']",27.0,
YFwDVViULiA,dy/dx னா இவ்வளவு தானா? | Basics of Calculus | LMES,E-mail:- lmesacademy@gmail.com Contact :- 9884222601 ----------------------------------------------------------------------,,,0,"['Education', 'maths']",27.0,
