id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
N2PpRnFqnqY,Derivative as a concept | Derivatives introduction | AP Calculus AB | Khan Academy,Why we study differential calculus. Created by Sal Khan. Watch the next lesson: ...,,,0,"['Education', 'maths']",27.0,
gCHiLLgO55o,Derivatives Explained in One Minute,Can derivatives be extraordinarily complex? Sure but understanding the basics is actually quite simple and I did my best to ensure ...,,,0,"['Education', 'maths']",27.0,
tYkqwIllFX4,Derivatives Market For Beginners | Edelweiss Wealth Management,"In this video, Edelweiss Professional Investor Research Team, shall be explaining financial derivatives and derivative trading in a ...",,,0,"['Education', 'maths']",27.0,
nf9ByTdX0aY,Financial Derivatives Explained,"In this video, we explain what Financial Derivatives are and provide a brief overview of the 4 most common types.",,,0,"['Education', 'maths']",27.0,
9vKqVkMQHKk,"The paradox of the derivative | Chapter 2, Essence of calculus","Note, to illustrate my point for the target audience of a new calculus student, I discussed a hypothetical speedometer that makes ...",,,0,"['Education', 'maths']",27.0,
5yfh5cf4-0w,Calculus 1 - Derivatives,This calculus 1 video tutorial provides a basic introduction into derivatives. Direct Link to Full Video: https://bit.ly/3TQg9Xz Full 1 ...,,,0,"['Education', 'maths']",27.0,
P8_KCItuZVM,Limits and Derivatives Class 11 One Shot | NCERT Maths Important Questions Revision | CBSE 2024-25,Limits and Derivatives Class 11 Maths in One Shot. Kuldeep Sir ke saath ek hi session mein Class 11 NCERT Maths ka sabse ...,,,0,"['Education', 'maths']",27.0,
KAEOQ76BLLM,Plus Two Maths Public Exam | Continuity &Diffrentiability | Application Of Derivatives | ExamWinner,examwinner #plustwomaths #publicexam #annualexam2025 #sureshotquestions Notes Link: https://linktr.ee/allen_221b Alex sir ...,,,0,"['Education', 'maths']",27.0,
gZB4RvZxvaI,Application of Derivatives Oneshot | 2nd PUC Mathematics Exam 2025,Join KCET 2025 Crash Course | KCET Crash Course 2025 Get personalized guidance from RP Sir Call on 7411-008-008 ...,,,0,"['Education', 'maths']",27.0,
74RG-PgPdbc,What are Derivatives | Types of Derivative Trading | Hindi,For Business Inquiries Email: ContactBgyaan@gmail.com.,,,0,"['Education', 'maths']",27.0,
ZSJeWfOFKZw,Applications of Derivatives old is gold solutions class 12 || Business mathematics || NEB ||,"Education refers to the discipline that is concerned with methods of teaching and learning in schools or school-like environments, ...",,,0,"['Education', 'maths']",27.0,
FLAm7Hqm-58,Derivatives for Beginners - Basic Introduction,This calculus video tutorial provides a basic introduction into derivatives for beginners. Here is a list of topics: Calculus 1 Final ...,,,0,"['Education', 'maths']",27.0,
Ud_aN6TXuhk,Elementary Derivative Rules Graphically | Synthwave and Math,"In this installment of synthwave and math, we sketch the derivative curves of elementary functions by measuring the slope of the ...",,,0,"['Education', 'maths']",27.0,
S0_qX4VJhMQ,"Derivative formulas through geometry | Chapter 3, Essence of calculus","Time stamps: 0:00 Intro 1:38 f(x) = x^2 4:41 f(x) = x^3 6:54 f(x) = x^n ""Power Rule"" 10:07 f(x) = 1/x 12:36 Sine 16:56 Outro Great ...",,,0,"['Education', 'maths']",27.0,
4vns9LEbEj0,What are Derivatives? Derivatives Kya Hote Hai? Simple Explanation in Hindi #TrueInvesting,"Learn what are Derivatives in stock markets, how many types of derivatives are there in stock markets, and should we trade in ...",,,0,"['Education', 'maths']",27.0,
fGYgiZd9dUw,"Types of Derivatives | Forwards, Futures, Options & Swaps","Types of Derivatives - Forwards, Futures, Options ( Call Option & Put Options ) & Swaps Forwards is a contractual agreement ...",,,0,"['Education', 'maths']",27.0,
LQrBzl0DMBA,Derivatives Trading Explained,Thanks to my Gold Patrons: Nebojsa Krtolica Malcolm Bramble Dmitry Y. friuns YouExec.com Pavlo Pravdiukov Will Tachau ...,,,0,"['Education', 'maths']",27.0,
QfvJojTymqs,DERIVATIVES in Stock Market - Explained | Mission Options E01,Mission Options Episode 1: What are Derivatives in Financial Markets? Types of Derivatives? What are Forwards? Options ...,,,0,"['Education', 'maths']",27.0,
T_I-CUOc_bk,Big Picture: Derivatives,"Calculus finds the relationship between the distance traveled and the speed - easy for constant speed, not so easy for changing ...",,,0,"['Education', 'maths']",27.0,
DEhc-WrlBdA,Financial Derivatives - An Introduction,"An introduction to financial derivatives in Hindi. Forwards, futures, options, and swaps are the 4 basic types of financial derivatives ...",,,0,"['Education', 'maths']",27.0,
WHjOiYCR5Gs,Derivatives formula // Derivatives exercise problem 7c 1-6// Elements of mathematics // Sujit master,class 11th mathematics class 12th mathematics elements of mathematics ncert Relation and function inverse trigonometric ...,,,0,"['Education', 'maths']",27.0,
Xzdugb1Ds3I,KCET 2025 |❇️ Application of Derivatives | 🔥One shot | Synopsis +PYQs📝| ಇಷ್ಟು ತಿಳ್ಕೋ ಸಾಕು,ಹಲೋ ಪ್ರೀತಿಯ ಪಿಯುಸಿ ವಿದ್ಯಾರ್ಥಿಗಳೆ Join our ABHYASA community for useful educational contents ...,,,0,"['Education', 'maths']",27.0,
G2Px5w4J9Vk,Differentiation | Specialist Mathematics | MaffsGuru.com,Differentiation | Specialist Mathematics | MaffsGuru.com ** This video is for the Year 12 Specialist Mathematics course here in ...,,,0,"['Education', 'maths']",27.0,
Pk476beQai0,Section 5.1 - Natural logs and derivatives,The power rule for integration is great! One problem: it doesn't work when the exponent is -1. The solution is the natural logarithm ...,,,0,"['Education', 'maths']",27.0,
T8YrEDDPgW8,DERIVATIVES SOLVED PROBLEM 5 WITH ALL FORMULAS (LECTURE 6) @TIKLESACADEMY,DERIVATIVES SOLVED PROBLEM 5 WITH ALL FORMULAS (LECTURE 6) TO WATCH ALL THE PREVIOUS LECTURES AND ...,,,0,"['Education', 'maths']",27.0,
hXSKsbVXnuI,NISM Series VIII - Equity Derivatives - Chapter - 7,NISM VIII Equity Derivatives Mock test for all chapters and Mock test on overall syllabus. Please check and test your knowledge for ...,,,0,"['Education', 'maths']",27.0,
jfvL4CDFOtU,Partial Derivatives Calculus 3,In this video we are going to look on partial derivatives in multivariable calculus. For more videos see @engineerlegend and ...,,,0,"['Education', 'maths']",27.0,
s63nolrq5Kw,NISM Equity Derivatives Course-2 500 Most Important Questions Explained-2 | @AdityaFinancialInsights,NISM Equity Derivatives Certification - 500 Most Important Questions Explained! | @AdityaFinancialInsights Master the NISM ...,,,0,"['Education', 'maths']",27.0,
43pONQD86R4,NISM Equity Derivatives Course - 500 Most Important Questions Explained |1 @AdityaFinancialInsights,NISM Equity Derivatives Certification - 500 Most Important Questions Explained! | @AdityaFinancialInsights Master the NISM ...,,,0,"['Education', 'maths']",27.0,
K4qHtLoVJmY,"Equity Derivatives And Currency Trading By Mr. Bhargav Rangrej, Jainam Broking Ltd","Equity Derivatives And Currency Trading By Mr. Bhargav Rangrej, Technical Research Analyst, Jainam Broking Ltd LinkedIn ...",,,0,"['Education', 'maths']",27.0,
dcqx4tRdsz4,This Real-Life Moment Explains Derivatives Better Than Any Textbook!,You've probably slammed the brakes while driving. But did you know that moment reveals one of the most powerful ideas in ...,,,0,"['Education', 'maths']",27.0,
jsH4mpAsBOU,PYQ of IIT JEE Advanced 2019 | Detailed Explanation | Application of Derivatives - 15,PYQ of IIT JEE Advanced 2019 | Detailed Explanation | Application of Derivatives - 15 Trickiest Advanced Problem Toughest ...,,,0,"['Education', 'maths']",27.0,
HjVupOWFCB8,Day 16 CUET UG Math 2025 Chapter 6 | अवकलज के अनुप्रयोग | Application of derivative MCQ,Day 16 CUET UG Math 2025Chapter 6 | अवकलज के अनुप्रयोग | Application of derivative MCQ *❤️JOIN ...,,,0,"['Education', 'maths']",27.0,
dxGlH45XYUk,"Sin, Cos, Tan Derivatives in Sinhala | Calculus Basics for A/L & Uni Students","Learn Derivatives of Trigonometric Functions | Sinhala Tutorial | Sin, Cos, Tan Are you learning calculus? In this video, you'll ...",,,0,"['Education', 'maths']",27.0,
Wjlw7ZpZVK4,What are derivatives? - MoneyWeek Investment Tutorials,What are derivatives? How can you use them to your advantage? Tim Bennett explains all in this MoneyWeek Investment video.,,,0,"['Education', 'maths']",27.0,
3NQ9Luk9FHM,Derivative Forwards and Futures| CFA Level 1| Derivatives explained| Future Derivatives| Derivatives,This video explains the flow of Derivative products in a graphical way. Introduces Derivatives and it's different types. It explains the ...,,,0,"['Education', 'maths']",27.0,
EzePYR390dw,Introduction to Calculus (Derivatives),"I made this 3 years ago for Tiktok. Calc students are learning this now, so I reformatted it for Youtube. I hope you love it!",,,0,"['Education', 'maths']",27.0,
DEhc-WrlBdA,Financial Derivatives - An Introduction,"An introduction to financial derivatives in Hindi. Forwards, futures, options, and swaps are the 4 basic types of financial derivatives ...",,,0,"['Education', 'maths']",27.0,
T_I-CUOc_bk,Big Picture: Derivatives,"Calculus finds the relationship between the distance traveled and the speed - easy for constant speed, not so easy for changing ...",,,0,"['Education', 'maths']",27.0,
F9KaHqG2RRY,AFM Derivatives Analysis and Valuation | CA FINAL REVISION LECTURE | FR & AFM BY BHAVIK CHOKSHI,00:00:00 Introduction 00:00:48 Overview 00:03:03 Futures 00:06:20 Theoretical Future Price 00:10:48 Equity Futures 00:26:30 ...,,,0,"['Education', 'maths']",27.0,
MDqD_O0BZG4,CFA Level 1 Derivatives - Revision Lecture by CA Vikas Vohra | edZeb,"Dear Students, in this video, we have tried to revise all the readings of the CFA Level 1 Derivatives in approximately 8 hours.",,,0,"['Education', 'maths']",27.0,
Kp7sSp5Kn7o,Difference Between Partial and Total Derivative,https://www.youtube.com/playlist?list=PLTjLwQcqQzNKzSAxJxKpmOtAriFS5wWy4 Books by Alexander Fufaev: ...,,,0,"['Education', 'maths']",27.0,
x3iEEDxrhyE,What is a Derivative? Deriving the Power Rule,"After discussing differentiation at great length, it is time to connect this concept with the act of taking the derivative of a function.",,,0,"['Education', 'maths']",27.0,
B0jeGk5GJX0,Derivatives Explained in 2 Minutes in Basic English,Business inquiries: info@afzalhussein.com Stay in Touch: Instagram: https://www.instagram.com/afzal_hussein LinkedIn: ...,,,0,"['Education', 'maths']",27.0,
wUZcIYx-7a4,What is a derivative?,"What is a derivative? Learn what a derivative is, how to find the derivative using the difference quotient, and how to use the ...",,,0,"['Education', 'maths']",27.0,
ObHJJYvu3RE,Derivatives: Crash Course Physics #2,CALCULUS! Today we take our first steps into the language of Physics; mathematics. Every branch of science has its own way to ...,,,0,"['Education', 'maths']",27.0,
