id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
rwF-X5STYks,Generative AI explained in 2 minutes,"You've probably heard of ChatGPT, Midjourney, prompts and deepfakes. But what exactly is ""generative AI""? That's what you'll ...",,,0,"['Entertainment', 'memes']",27.0,
qYNweeDHiyU,"AI, Machine Learning, Deep Learning and Generative AI Explained","Join Jeff Crume as he dives into the distinctions between Artificial Intelligence (AI), Machine Learning (ML), Deep Learning (DL), ...",,,0,"['Entertainment', 'memes']",27.0,
_6R7Ym6Vy_I,What is generative AI and how does it work? – The Turing Lectures with Mirella Lapata,How are technologies like ChatGPT created? And what does the future hold for AI language models? This talk was filmed at the ...,,,0,"['Entertainment', 'memes']",27.0,
2IK3DFHRFfw,Generative AI in a Nutshell - how to survive and thrive in the age of AI,"Covers questions like What is generative AI, how does it work, how do I use it, what are some of the risks & limitations. Also covers ...",,,0,"['Entertainment', 'memes']",27.0,
hfIUstzHs9A,What are Generative AI models?,"Generative AI has stunned the world with its ability to create realistic images, code, and dialogue. Here, IBM expert Kate Soule ...",,,0,"['Entertainment', 'memes']",27.0,
G2fqAlgmoPo,Introduction to Generative AI,What is Generative AI and how does it work? What are common applications for Generative AI? Watch this video to learn all about ...,,,0,"['Entertainment', 'memes']",27.0,
nW7btpcyNu0,Generative AI for Data - Driven Business Decision - Making,,,,0,"['Entertainment', 'memes']",27.0,
gCDacaohqaA,Generative AI: what is it good for?,Generative AI is the technology behind the wave of new online tools used by millions around the world. As the technology is ever ...,,,0,"['Entertainment', 'memes']",27.0,
3on3S-fbeRI,Generative AI Roadmap 2025 | Roadmap to Become a Generative AI Expert for Beginners,Want to become a Generative AI Expert and lead the AI revolution in 2025? This video lays out the ultimate Generative AI ...,,,0,"['Entertainment', 'memes']",27.0,
dFSnam97YbQ,From Idea to AI: Building Applications with Generative AI,Discover the exciting world of building applications with Generative AI! Cedric Clyburn explores the process of creating ...,,,0,"['Entertainment', 'memes']",27.0,
SCE3iKbXXTQ,10 High Income AI Skills To Learn in 2025,10 High Income AI Skills To Learn in 2025 In this video I cover the 10 high income AI skills essential for 2025 as an AI generalist.,,,0,"['Entertainment', 'memes']",27.0,
unPKJJjQP0A,Watch this before using generative AI,Ready to get started with generative AI? Here are the 5 must-knows for younger users and parents to learn how to use it ...,,,0,"['Entertainment', 'memes']",27.0,
NRmAXDWJVnU,Generative AI Explained In 5 Minutes | What Is GenAI? | Introduction To Generative AI | Simplilearn,"Don't forget to take the quiz at 04:22! Comment below what you think is the right answer, to be one of the 3 lucky winners who can ...",,,0,"['Entertainment', 'memes']",27.0,
2p5OHDxR2l8,Introduction to Generative AI,Tired of managing authentication or dealing with costly auth providers? Try PropelAuth. Use code BYTE24 for 50% off their ...,,,0,"['Entertainment', 'memes']",27.0,
2kSl0xkq2lM,The Turing Lectures: The future of generative AI,"With their ability to generate human-like language and complete a variety of tasks, generative AI has the potential to revolutionise ...",,,0,"['Entertainment', 'memes']",27.0,
cZaNf2rA30k,Introduction to Generative AI,What is generative AI? Not sure where to begin? Check out this short course! We'll take you through the basics of generative AI ...,,,0,"['Entertainment', 'memes']",27.0,
6de4akFiNYM,Generative AI in Premiere Pro powered by Adobe Firefly | Adobe Video,"Coming to #PremierePro in 2024: revolutionary #GenerativeAI features like Object Addition, Object Removal, and Generative ...",,,0,"['Entertainment', 'memes']",27.0,
pWNAtUwnBS8,What is Generative AI?,"The question of the year has certainly been: What is Generative Artificial Intelligence, or AI? But more than that, organizations are ...",,,0,"['Entertainment', 'memes']",27.0,
rAEqP9VEhe8,Generative AI's Greatest Flaw - Computerphile,"Described as GenAIs greatest flaw, indirect prompt injection is a big problem, Mike Pound from University of Nottingham explains ...",,,0,"['Entertainment', 'memes']",27.0,
-opBifFfsMY,Generative AI is a Parasitic Cancer,"guys I just wanted to read about .glb files can we maybe not do this to the internet ## How to watch, experience, and listen to ...",,,0,"['Entertainment', 'memes']",27.0,
