id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
APRGt-zJCck,Integration Class11th | Integration for Physics | How to do Integration Physics Class12th | Calculus,"JEE #NEET To Support me in my work, You can donate using- Account no- 3288241594 Central Bank of India Branch Dabra (MP) ...",,,0,"['Education', 'maths']",27.0,
6WUjbJEeJwM,Calculus 1 - Integration & Antiderivatives,This calculus 1 video tutorial provides a basic introduction into integration. It explains how to find the antiderivative of many ...,,,0,"['Education', 'maths']",27.0,
rfG8ce4nNh0,"Integration and the fundamental theorem of calculus | Chapter 8, Essence of calculus",Timestamps: 0:00 - Car example 8:20 - Areas under graphs 11:18 - Fundamental theorem of calculus 16:20 - Recap 17:45 ...,,,0,"['Education', 'maths']",27.0,
3n-77bRzwdo,INDEFINITE INTEGRATION in 70 Minutes | Full Chapter Revision | Class 12th JEE,JEE mind map 2025 -https://physicswallah.onelink.me/ZAZB/nx8g2840 Fighter Batch Class 11th JEE: ...,,,0,"['Education', 'maths']",27.0,
-FNnW9ILqCE,Integration Oneshot | 18 Marks Guaranteed | 2nd PUC Mathematics Exam 2025,Join KCET 2025 Crash Course | KCET Crash Course 2025 Get personalized guidance from RP Sir Call on 7411-008-008 ...,,,0,"['Education', 'maths']",27.0,
aBuT_NpL4kM,JEE MAINS 2025 : INDEFINITE INTEGRATION 3.0 THEORY +Qs + DPP +TEST | MATHEMATICALLY INCLINED #jee,JEE MAINS 2025 : INDEFINITE INTEGRATION 3.0 THEORY +Qs +DPP +TEST | MATHEMATICALLY INCLINED | NEHA ...,,,0,"['Education', 'maths']",27.0,
dKecT2jZkxI,Integration Class 12 | JEE Main & Advanced,UNSAT:- https://unacademy.onelink.me/M2BR/9ikv8hm1 ➡️ Question solutions of IRODOV ...,,,0,"['Education', 'maths']",27.0,
rnlBJNdKTGY,Calculus: ∫ (x-√(x^2+1))^2025 dx - Integration by hyperbolic substitution - For special Year 2025,Here is the technique to solve this question and how to find them in step-by-step.,,,0,"['Education', 'maths']",27.0,
IFlXeFwA_2A,BASIC Math Calculus – Understand Simple Calculus with just Basic Math in 5 minutes!,BASIC Math Calculus – AREA of a Triangle - Understand Simple Calculus with just Basic Math! Calculus | Integration | Derivative ...,,,0,"['Education', 'maths']",27.0,
Y8YfDPlWFgk,The Coolest Integration Weapon of All Time,"In this video, I am evaluating an interesting integral using king property. #math #maths Subscribe to Dr. PK Math here ...",,,0,"['Education', 'maths']",27.0,
YGrj3cI1AJw,Basic Integration Formulas Explained in Hindi | Engineering Mathematics Series,Myself Shridhar Mankar an Engineer l YouTuber l Educational Blogger l Educator l Podcaster. My Aim- To Make Engineering ...,,,0,"['Education', 'maths']",27.0,
zOxaUlRkFG0,Basic Integration Problems,This calculus video tutorial provides an introduction into basic integration rules. It explains how to find the antiderivative of a ...,,,0,"['Education', 'maths']",27.0,
YWb1PJV7YIw,Easy and Important 2 & 3 Mark Integration Questions with Solutions |2nd PUC Mathematics Exam 2023,For KCET2023 Crash Course: 7411-008-008 You can fallow RP Sir on Insta: https://www.instagram.com/rajendraprasad1618 ...,,,0,"['Education', 'maths']",27.0,
e1nxhJQyLYI,Basic Integration... How? (NancyPi),"MIT grad shows how to find antiderivatives, or indefinite integrals, using basic integration rules. To skip ahead: 1) For how to ...",,,0,"['Education', 'maths']",27.0,
925SY-xvuj8,INDEFINITE INTEGRATION in One Shot: All Concepts & PYQs Covered | JEE Main & Advanced,MANZIL COMEBACK: https://physicswallah.onelink.me/ZAZB/2ng2dt9v JEE Ultimate CC 2025: ...,,,0,"['Education', 'maths']",27.0,
ZtTDs2FZ2Qw,Manzil 2025: MATRICES in One Shot: All Concepts & PYQs Covered | JEE Main & Advanced,00:00 - Introduction 13:19 - Topics to be covered 16:33 - Matrix Definition 26:01 - Order of a matrix 39:13 - Types of matrices ...,,,0,"['Education', 'maths']",27.0,
o8T4ZG08q8g,Complex Numbers FULL CHAPTER | Class 11th Maths | Arjuna JEE,Playlist ✨ https://www.youtube.com/playlist?list=PL9tzqmHNezzDzB7DiCwyEYpBJYCSUCuzc ...,,,0,"['Education', 'maths']",27.0,
IQ15BnVUgis,Integration (Calculus),,,,0,"['Education', 'maths']",27.0,
FsC3do74UIo,What is Integration? Finding the Area Under a Curve,"Ok, we've wrapped up differential calculus, so it's time to tackle integral calculus! It's definitely the trickier of the two, but don't worry ...",,,0,"['Education', 'maths']",27.0,
mTW9kWhBsmU,Quavo & Takeoff - Integration (Official visualizer),"NowPlaying Quavo & Takeoff ""Integration"" Official Visualizer. Stream & Download ""Integration"" on 'Only Built for Infinity Links' ...",,,0,"['Education', 'maths']",27.0,
tLcvEmBZEPg,Basics of Integration | Integration | 2nd PUC Mathematics Exam 2024,Join KCET 2024 Crash Course Get personalized guidance from RP Sir & Usha Mam !! Call on 7411-008-008 Download ...,,,0,"['Education', 'maths']",27.0,
sci1pls4Lc8,Integration Using The Substitution Rule,"With the basics of integration down, it's now time to learn about more complicated integration techniques! We need special ...",,,0,"['Education', 'maths']",27.0,
o75AqTInKDU,"Indefinite Integral - Basic Integration Rules, Problems, Formulas, Trig Functions, Calculus",This calculus video tutorial explains how to find the indefinite integral of a function. It explains how to apply basic integration rules ...,,,0,"['Education', 'maths']",27.0,
JfK6bkwnlV4,10x Productivity Hack: Cursor + Dart AI MCP Integration,"Boost Productivity with Dart AI In this video, I demonstrate how to use Cursor alongside Dart AI, a powerful project management ...",,,0,"['Education', 'maths']",27.0,
wcix-vwYJ-Q,WSO2 Rest API Development | Installation Of WSO2 Integration Studio and Postman,"Hi Everyone , This Video I am creating for you guys which will help everyone to build your own APIS without any facing any ...",,,0,"['Education', 'maths']",27.0,
6pjDaGQB86E,DDCET - MATHEMATICS || UNIT 7 || INTEGRATION || FULL REVISION || MIMP MCQ FOR DDCET #ddcet,DIPLOMA TO DEGREE COMMON ENTRANCE TEST (DDCET) 2025 WHATSAPP GROUP LINK: ...,,,0,"['Education', 'maths']",27.0,
4eUJQ69uv9s,Integration of WAZUH with SURICATA,Suricata Installation WAZUH Linux Installation Integration of SURICATA with WAZUH ...,,,0,"['Education', 'maths']",27.0,
hY8C4lcmJUk,2023 Columbia Integration Bee Qualifying Round Integral 7,Mis-3059 Integrate (sin^3 x + cos^3 x)dx #calculus #indefinite_integrals #trigonometric #identity #2023 #columbia #intergration ...,,,0,"['Education', 'maths']",27.0,
p5FrJ3upzTo,Future Trends in Power Management Chips High Frequency & Integration,Explore the evolving landscape of power management chips in this informative video. We delve into the current industry trends ...,,,0,"['Education', 'maths']",27.0,
ZfHU8eeK9k0,Chemical Coordination and Integration Lecture 02,COMPLETE BIOLOGY CRASH COURSE FOR NEET 2025 – REPLAY AVAILABLE NOW ...,,,0,"['Education', 'maths']",27.0,
qr670UJzrls,2023 Columbia Integration Bee Qualifying Round Integral 14,Mis-3063 Integrate cos x/sqrt(cos 2x)dx #calculus #indefinite_integrals #substitution #2023 #columbia #intergration #bee ...,,,0,"['Education', 'maths']",27.0,
4gw7Nkr6bsg,Huawei Pura X - New 5.0.1.110SP5 Update improves Camera + Android integration,A new #HuaweiPuraX #HarmonyOS 5.0.1.110 SP5 update arrived which promises camera improvements and has some other ...,,,0,"['Education', 'maths']",27.0,
hcwgt6ouliU,JEE MAIN PYQ 2025 ( 8 April- shift 2 ) || Integration PYQ 2025 || IIT JEE Class12 MATHS #JEE2025,JEE MAIN PYQ 2025 ( 2nd April- shift 1 ) || Integration PYQ 2025 || IIT JEE Class12 MATHS #JEE2025 #jee2025preparation ...,,,0,"['Education', 'maths']",27.0,
6KcSrcickYA,2023 Columbia Integration Bee Qualifying Round Integral 8,Mis-3058 Integrate 1/(1 + tan x)dx #calculus #indefinite_integrals #algebraic #manipulation #2023 #columbia #intergration #bee ...,,,0,"['Education', 'maths']",27.0,
oJxOSkXbmA4,What Are Some Activities To Help With Visual Motor Integration Dysfunction?,"What Are Some Activities To Help With Visual Motor Integration Dysfunction? Visual motor integration is a vital skill for children, ...",,,0,"['Education', 'maths']",27.0,
NP0KDPdRmpM,"Greatland Gold CEO on strong Q1, 'remarkable' Telfer integration and ASX listing plans","Greatland Gold PLC (AIM:GGP, OTC:GRLGF) CEO Shaun Day talked with Proactive about the company's performance during the ...",,,0,"['Education', 'maths']",27.0,
svfPBYxhYw0,2023 Columbia Integration Bee Qualifying Round Integral 7 (2nd method),Mis-3059A Integrate (sin^3 x + cos^3 x)dx #calculus #indefinite_integrals #trigonometric #identity #2023 #columbia #intergration ...,,,0,"['Education', 'maths']",27.0,
oquUbmci6Tg,2023 Columbia Integration Bee Qualifying Round Integral 17,Mis-3062 Integrate 1/(sqrt(x) + x^(1/4))dx #calculus #indefinite_integrals #substitution #2023 #columbia #intergration #bee ...,,,0,"['Education', 'maths']",27.0,
Hym9NGbDFPc,Sophos Firewall v21.5: Entra ID SSO Integration for Sophos Connect Client,We explore the new Entra ID Single Sign-On integration introduced in SFOS version 21.5. This seamless SSO functionality ...,,,0,"['Education', 'maths']",27.0,
jJ5gznUvVpU,CMM 2023 Integration Bee Finals Problem 23 (5th method),Mis-2960AAAA Integrate sin(ln x)/x^3 dx #calculus #indefinite_integral #substitution #cmm #2023 #integration #bee #finals ...,,,0,"['Education', 'maths']",27.0,
VKS3s-iGXyU,Integration By part By Elite@Mat,Detailed explanation on solving integration by Part.,,,0,"['Education', 'maths']",27.0,
sexYhhBB5ZE,2023 Columbia Integration Bee Qualifying Round Integral 7 (3rd method),Mis-3059AA Integrate (sin^3 x + cos^3 x)dx #calculus #indefinite_integrals #trigonometric #identity #2023 #columbia #intergration ...,,,0,"['Education', 'maths']",27.0,
mTW9kWhBsmU,Quavo & Takeoff - Integration (Official visualizer),"NowPlaying Quavo & Takeoff ""Integration"" Official Visualizer. Stream & Download ""Integration"" on 'Only Built for Infinity Links' ...",,,0,"['Education', 'maths']",27.0,
zOxaUlRkFG0,Basic Integration Problems,This calculus video tutorial provides an introduction into basic integration rules. It explains how to find the antiderivative of a ...,,,0,"['Education', 'maths']",27.0,
tLcvEmBZEPg,Basics of Integration | Integration | 2nd PUC Mathematics Exam 2024,Join KCET 2024 Crash Course Get personalized guidance from RP Sir & Usha Mam !! Call on 7411-008-008 Download ...,,,0,"['Education', 'maths']",27.0,
FsC3do74UIo,What is Integration? Finding the Area Under a Curve,"Ok, we've wrapped up differential calculus, so it's time to tackle integral calculus! It's definitely the trickier of the two, but don't worry ...",,,0,"['Education', 'maths']",27.0,
IQ15BnVUgis,Integration (Calculus),,,,0,"['Education', 'maths']",27.0,
e1nxhJQyLYI,Basic Integration... How? (NancyPi),"MIT grad shows how to find antiderivatives, or indefinite integrals, using basic integration rules. To skip ahead: 1) For how to ...",,,0,"['Education', 'maths']",27.0,
IFlXeFwA_2A,BASIC Math Calculus – Understand Simple Calculus with just Basic Math in 5 minutes!,BASIC Math Calculus – AREA of a Triangle - Understand Simple Calculus with just Basic Math! Calculus | Integration | Derivative ...,,,0,"['Education', 'maths']",27.0,
rL0ygMRBLq8,Complete Integration and Derivative Formulae List | Easy Trick to Learn| Engineering Mathematics 2,Engineering Channel Pradeep Giri Academy : https://www.youtube.com/results?search_query=pradeep+giri+academy Pradeep ...,,,0,"['Education', 'maths']",27.0,
sci1pls4Lc8,Integration Using The Substitution Rule,"With the basics of integration down, it's now time to learn about more complicated integration techniques! We need special ...",,,0,"['Education', 'maths']",27.0,
MwVBzE7Z5gw,What is Integration? 3 Ways to Interpret Integrals,Integrals Explained! This video explains 3 ways to understand and interpret integrals in calculus. Two of these ways are ...,,,0,"['Education', 'maths']",27.0,
-FNnW9ILqCE,Integration Oneshot | 18 Marks Guaranteed | 2nd PUC Mathematics Exam 2025,Join KCET 2025 Crash Course | KCET Crash Course 2025 Get personalized guidance from RP Sir Call on 7411-008-008 ...,,,0,"['Education', 'maths']",27.0,
AWjvnYdGpjo,Integration easy tutorial Malayalam,integration_malayalam #integration_easy_tutorial_Malayalam #integration_class_12_Malayalam This is a mathematics tutorial ...,,,0,"['Education', 'maths']",27.0,
B0xdoXk5miA,Integration by Substitution (Introduction),This video introduces the concept of Integration by substitution and explains how to evaluate problems on Integration using the ...,,,0,"['Education', 'maths']",27.0,
g-Aym5nJheM,An Introduction to Integration,A Level Maths revision tutorial video. For the full list of videos and more revision resources visit www.mathsgenie.co.uk.,,,0,"['Education', 'maths']",27.0,
HHAHiEgtyT8,MIT Integration Bee Final Round,"To everyone pointing out the missing +C, it wasn't necessary according to the rules of the contest.",,,0,"['Education', 'maths']",27.0,
2N6A4ed8s58,Calculus 2 - Basic Integration,"This calculus 2video tutorial provides an introduction into basic integration techniques such as integration by parts, trigonometric ...",,,0,"['Education', 'maths']",27.0,
FB68COIOgAo,Introduction to Integration,"Integration is one of the two main operations of calculus; its inverse operation, differentiation, is the other. In this video, I have ...",,,0,"['Education', 'maths']",27.0,
yY2oUKVAkdY,Integration One Shot Maths 2024-25 Zero to Hero | Class 12th Maths NCERT with Ushank Sir,scienceandfun #scienceandfunashusir #scienceandfun9th10th11th12th Topic wise Time Stamp 3:45 introduction 12:51 Method ...,,,0,"['Education', 'maths']",27.0,
t_goa94UAsU,COMPLETE STUDY OF ALL INTEGRATION FORMULAS LECTURE 1 @TIKLESACADEMY,Visit My Other Channels : @TIKLESACADEMY @TIKLESACADEMYOFMATHS @TIKLESACADEMYOFEDUCATION TODAY WE ...,,,0,"['Education', 'maths']",27.0,
hXOrQ0Ao4UE,Integration Class 12 Maths | NCERT Chapter 7 | CBSE JEE | One Shot |हिंदी में,Timestamps: 0:00 Introduction 1:09 Differentiation And Integration 4:06 Integration 6:45 Differentiation And Integration 7:16 ...,,,0,"['Education', 'maths']",27.0,
1w7-wlDMZrA,INTEGRATION : Introduction FOR BEGINNERS || Lecture #1 (Urdu),"Hi people, I have started an INTEGRATION SERIES. In which I will cover all the integration topics. Just to help the people all ...",,,0,"['Education', 'maths']",27.0,
M5MaGUO0JDs,"What Integration Technique Should I Use? (trig sub, u sub, DI method, partial fractions) calculus 2",#calculus #blackpenredpen #apcalculusbc.,,,0,"['Education', 'maths']",27.0,
