id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
n2y7n6jw5d0,What does the Laplace Transform really tell us? A visual explanation (plus applications),This video goes through a visual explanation of the Laplace Transform as well as applications and its relationship to the Fourier ...,,,0,"['Education', 'maths']",27.0,
3gjJDuCAEQQ,The intuition behind Fourier and Laplace transforms I was never taught in school,This video covers a purely geometric way to understand both Fourier and Laplace transforms (without worrying about imaginary ...,,,0,"['Education', 'maths']",27.0,
KqokoYr_h1A,Intro to the Laplace Transform & Three Examples,Welcome to a new series on the Laplace Transform. This remarkable tool in mathematics will let us convert differential equations ...,,,0,"['Education', 'maths']",27.0,
65yw9klPklk,How to solve differential equations,... Laplace transform for the first time! Очень плохая музыка! ▭ See also ▭▭▭▭▭▭▭▭▭▭ * https://youtu.be/fmG7U0Pv30Y ...,,,0,"['Education', 'maths']",27.0,
AAir4vcxRPU,e (Euler's Number) is seriously everywhere | The strange times it shows up and why it's so important,Animations: Brainup Studios (email: mail@brainup.in) Timestamps/Extra Resources 2:42 - Derangements ...,,,0,"['Education', 'maths']",27.0,
e-42776_1Ns,7. Laplace Transform | Complete Concept and Problem#1 | Most Important Problem,"Get complete concept after watching this video Topics covered under playlist of Laplace Transform: Definition, Transform of ...",,,0,"['Education', 'maths']",27.0,
6MXMDrs6ZmA,Laplace Transform Explained and Visualized Intuitively,"Laplace Transform explained and visualized with 3D animations, giving an intuitive understanding of the equations. My Patreon ...",,,0,"['Education', 'maths']",27.0,
OiNh2DswFt4,Laplace transform 1 | Laplace transform | Differential Equations | Khan Academy,Introduction to the Laplace Transform Watch the next lesson: ...,,,0,"['Education', 'maths']",27.0,
TPewsaLASR4,"Mathematics for class 6, 7, 8, 9, 10 TGT PGT Maths",Playlist of Differential equations and Laplace Transform Differential equations and Laplace Transform: ...,,,0,"['Education', 'maths']",27.0,
9RJml41PFnc,Laplace Transform: First Order Equation,Transform each term in the linear differential equation to create an algebra problem. You can transform the algebra solution back ...,,,0,"['Education', 'maths']",27.0,
WbebNTFCsCc,Laplace Transform & Fourier Transform: Comparison and Relationship,Laplace Transform & Fourier Transform are covered by the following Timestamps: 0:00 - Laplace Transform & Fourier Transform ...,,,0,"['Education', 'maths']",27.0,
ZGPtPkTft8g,The Laplace Transform - A Graphical Approach,A lot of books cover how to perform a Laplace Transform to solve differential equations. This video tries to show graphically what ...,,,0,"['Education', 'maths']",27.0,
7UvtU75NXTg,The Laplace Transform: A Generalized Fourier Transform,"This video is about the Laplace Transform, a powerful generalization of the Fourier transform. It is one of the most important ...",,,0,"['Education', 'maths']",27.0,
ZtTDs2FZ2Qw,Manzil 2025: MATRICES in One Shot: All Concepts & PYQs Covered | JEE Main & Advanced,00:00 - Introduction 13:19 - Topics to be covered 16:33 - Matrix Definition 26:01 - Order of a matrix 39:13 - Types of matrices ...,,,0,"['Education', 'maths']",27.0,
spUNpyF58BY,But what is the Fourier Transform? A visual introduction.,Thanks to these viewers for their contributions to translations Hebrew: Omer Tuchfeld Russian: xX-Masik-Xx Vietnamese: ...,,,0,"['Education', 'maths']",27.0,
fNk_zzaMoSs,"Vectors | Chapter 1, Essence of linear algebra",Thanks to Elo Marie Viennot and Ambros Gleixner from HTW Berlin (www.htw-berlin.de) for contributing German translations and ...,,,0,"['Education', 'maths']",27.0,
1wWiA0l2GQk,Introduction to Laplace Transform,Signal & System: Introduction to Laplace Transform Topics discussed: 1. Laplace transform. 2. Laplace transform as the general ...,,,0,"['Education', 'maths']",27.0,
O87pL_uS4B0,Review of Laplace Transform (Part 1),Control Systems: The review of Laplace Transform Topics Discussed: 1. The use of Laplace transform. 2. Integral transforms. 3.,,,0,"['Education', 'maths']",27.0,
ftnpM_RO0Jc,Laplace Transform Ultimate Study Guide,"This tutorial includes the Laplace transform of derivatives, Laplace transform of e^(at), Laplace transform of t^n, Laplace transform ...",,,0,"['Education', 'maths']",27.0,
OA1OJrfpP20,Laplace Transform | Overview & Laplace Transform of Elementary Function by GP Sir,This video lecture on Laplace Transform | Overview & Laplace Transform of Elementary Function by GP Sir will help Engineering ...,,,0,"['Education', 'maths']",27.0,
