id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
pvLj1s7SOtk,Finding Local Maxima and Minima by Differentiation,"What else is differentiation good for? Well if we are looking at the graph of a function, differentiation makes it super easy to find ...",,,0,"['Education', 'maths']",27.0,
y9M6kmgSnw8,Differentiation (Maxima and Minima),In this video I explain how to find stationary points and determine their nature. This video is intended for those studying AQA's ...,,,0,"['Education', 'maths']",27.0,
V239IIoGVT8,"Relative Extrema, Local Maximum and Minimum, First Derivative Test, Critical Points- Calculus",This calculus video tutorial explains how to find the relative extrema of a function such as the local maximum and minimum values ...,,,0,"['Education', 'maths']",27.0,
WCq3sRzsJfs,Finding Local Maximum and Minimum Values of a Function - Relative Extrema,This calculus video tutorial explains how to find the local maximum and minimum values of a function. In order to determine the ...,,,0,"['Education', 'maths']",27.0,
UCs-bODZdXo,Easily solve Maximum & Minimum values of the function good example(PART-1),In this video explaining maximum and minimum values of function example. In this example using differentiation and require x and ...,,,0,"['Education', 'maths']",27.0,
zeqTnCIG5QQ,Application of Derivatives One Shot Maths | Maxima and Minima | Class 12th NCERT with Ushank sir,"Now preparing for exams will become Fun and Easy! This channel is dedicated to students of classes 9th, 10th , 11th & 12th ...",,,0,"['Education', 'maths']",27.0,
NpR91wexqHA,Maxima And Minima of Two Variables Function | Examples And Solution,This video lecture of Maxima And Minima of Two Variables Function | Examples And Solution by GP Sir will help Engineering and ...,,,0,"['Education', 'maths']",27.0,
xwOhlrBGYiE,MAXIMA AND MINIMA |ONE SHOT |ALL UNIVERSITY|ENGINEERING MATHEMATICS|PRADEEP GIRI SIR,MAXIMA AND MINIMA |ONE SHOT |ALL UNIVERSITY|ENGINEERING MATHEMATICS|PRADEEP GIRI SIR #maximandminima ...,,,0,"['Education', 'maths']",27.0,
dM0-056_UmU,القيم العظمى والقيم الصغرى ج1 || الرياضيات || الصف العاشر || أ. رهف البداوي,منصة_دراستك_التعليمية #منصة_دراستك #الأردن #دراستك_علينا #دراستك_أحلى_مع_دراستك #دراستك_قصة_نجاحك #الرياضيات ...,,,0,"['Education', 'maths']",27.0,
gLIyYFPoXpc,Differential Calculus | Maxima and Minima of Function of Two Variables | By GP Sir,Differential Calculus | Maxima and Minima of Function of Two Variables | By GP Sir will help Engineering and Basic Science ...,,,0,"['Education', 'maths']",27.0,
