id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
iZ87Tsl3wfE,A Comprehensive Guide To Shonen Anime,"In This Video, I will be giving you a comprehensive guide to help you understand why Shonen anime is what it is. This is a ...",,,1,"['Entertainment', 'memes']",27.0,
kNs7UaxHI10,Top 15 Best Shonen Anime of All Time | AnimeVerse,"Top 15 Best Shonen Anime of All Time | AnimeVerse ""Copyright Disclaimer"" ""Under section 107 of the Copyright Act 1976, ...",,,1,"['Entertainment', 'memes']",27.0,
4UsLWvQ8DMk,30 Must-watch Shonen Anime From 2000 To 2024 That You Can't Miss!,Let's go through 30 of the best shounen anime this century gave us. If you like the video please like and share. This list is just my ...,,,1,"['Entertainment', 'memes']",27.0,
XvT80gvHbMY,Shonen Anime is CHANGING… And It's About to Get INSANE!,"The Shonen Anime community might feel like it's at a standstill, but what if I told you that we're actually on the brink of something ...",,,1,"['Entertainment', 'memes']",27.0,
Y9OtT1HNm20,Top 20 Best Action Shonen Anime of All Time,Here are Twenty of my favorite action shounen that was adapted from the manga. You heard that right. It's the biggest ViniiTube ...,,,1,"['Entertainment', 'memes']",27.0,
BQj9QINN4_o,Why This Anime Crushes Every Other Shonen Anime - Dr Stone Starter Pack Video | Loginion,Dr. Stone (stylized as Dr.STONE) is a Japanese manga series written by Riichiro Inagaki and illustrated by the South Korean artist ...,,,1,"['Entertainment', 'memes']",27.0,
vVUWkTX2gWQ,Top 20 Shonen Anime Series,"They're the best the genre has to offer. Join Ashley as we count down our picks for the greatest shonen anime to date, including ...",,,1,"['Entertainment', 'memes']",27.0,
vbGiVb0ASzQ,Why nearly EVERY shonen anime follows this pattern,"I've always wondered why so many of the most popular shonen anime, like Demon Slayer, Jujutsu Kaisen, Chainsaw Man, Attack ...",,,1,"['Entertainment', 'memes']",27.0,
NqX55OPC4Mw,I Made Pokémon Uranium Feel Like a SHONEN Anime,Music and More ▽ Pokémon Uranium ▻ https://www.youtube.com/playlist?list=PLes1UBLBAasoPJw_VzKZMIpd8hp_Q2yeF ...,,,1,"['Entertainment', 'memes']",27.0,
8UaSk-MHUrQ,Don't Watch Shonen Anime.,"The most popular type of anime out there is Shonen, specifically Battle Shounen, and everyone just assumes that that's all there is ...",,,1,"['Entertainment', 'memes']",27.0,
