id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
jRQqEecBrAM,League's Monetization Is In Trouble,"Join in to get unique emotes, badge and spoilers for future videos: ...",,,1,"['Entertainment', 'memes']",27.0,
j-RpvIuazmc,"Stromae, Pomme - “Ma Meilleure Ennemie” (from Arcane Season 2) [Official Music Video]","LYRICS Je t'aime, je te hais, je t'aime, je te hais Je t'aime, je te hais, je t'aime, je te hais Je t'aime, je te hais, je t'aime, je te hais Je ...",,,1,"['Entertainment', 'memes']",27.0,
Zoyjv2l645U,The Root of Empire | Origins of Noxus - League of Legends,LeBlanc has plotted for centuries. Now her dark conspiracy blooms. Video created in partnership with Little Zoo. League of ...,,,1,"['Entertainment', 'memes']",27.0,
89w4DxPMogw,NEW UPDATED TIER LIST for PATCH 25.6 - League of Legends,WEBSITE: https://www.skill-capped.com/lol#update6 ▻SUBSCRIBE: http://goo.gl/kGvFCu ▻DISCORD: ...,,,1,"['Entertainment', 'memes']",27.0,
iwEAK5wsWLg,T1 vs BLG - Game 5 | Grand Final LoL Worlds 2024 | T1 vs Bilibili Gaming G5 full,LoL eSports S14 WORLDS 2024 Playoffs - T1 vs Bilibili Gaming Final | League of Legends,,,1,"['Entertainment', 'memes']",27.0,
Oza63bLiJRg,T1 vs BLG - Game 1 | Grand Final LoL Worlds 2024 | T1 vs Bilibili Gaming G1 full,LoL eSports S14 WORLDS 2024 Playoffs - T1 vs Bilibili Gaming Final | League of Legends Worlds 2024 BLG vs T1 VOD 1080p ...,,,1,"['Entertainment', 'memes']",27.0,
x701twoAY_E,50 INSTANT DELETE MOMENTS IN LEAGUE OF LEGENDS,"50 INSTANT DELETE MOMENTS IN LEAGUE OF LEGENDS - Fast Oneshots, Satisfying Team Wipes and Perfect Deletes in a ...",,,1,"['Entertainment', 'memes']",27.0,
aR-KAldshAE,Warriors | Season 2020 Cinematic - League of Legends (ft. 2WEI and Edda Hayes),Warriors: We are warriors. Season 2020 has begun. LISTEN NOW: https://smarturl.it/warriorslol Spotify: ...,,,1,"['Entertainment', 'memes']",27.0,
_JWJgS00hfk,50 ULTRA SATISFYING MOMENTS IN LEAGUE OF LEGENDS,"50 ULTRA SATISFYING MOMENTS IN LEAGUE OF LEGENDS - SUPER Satisfying Ultimates, Instant One Shots, Perfect ...",,,1,"['Entertainment', 'memes']",27.0,
I76wvt0aEE4,Welcome to Noxus - Bite Marks (ft. TEYA) | 2025 Season 1 Cinematic - League of Legends,Are you strong enough? Prove it. Season 1 of 2025 is live January 9th @ 12 PM PST. Video created in partnership with Fortiche.,,,1,"['Entertainment', 'memes']",27.0,
tQbo2X2Qysc,The COMPLETE Beginner's Guide to League of Legends!,Learn how to play League of Legends with this COMPLETE beginner's guide! What is Skill Capped? Skill Capped has one goal in ...,,,1,"['Entertainment', 'memes']",27.0,
l9Yy9g_8F9M,What It's Like Learning League of Legends In 2024,Catch SVB streaming OW2 live on https://www.twitch.tv/svb_ The best way to support my content: https://www.patreon.com/svb ...,,,1,"['Entertainment', 'memes']",27.0,
UQ_JEtkTc4U,YORICK 2025 REWORK GAMEPLAY - League of Legends,"YORICK 2025 REWORK GAMEPLAY - League of Legends. Yorick just got a midscope rework update on the PBE, with a ton of ...",,,1,"['Entertainment', 'memes']",27.0,
-eFDvk1exgw,The characters of Arcane in League of Legends.,"In the dark corners of Zaun, where crime and chaos reign, a trio of young women grow — Jinx, Vi, and Powder. Jinx, with her ...",,,1,"['Entertainment', 'memes']",27.0,
OIpUmepTguI,NEW DARKIN CHAMPION TEASER - League of Legends,NEW DARKIN CHAMPION TEASER - League of Legends. We might have just gotten the teaser of potentially the next Glaive ...,,,1,"['Entertainment', 'memes']",27.0,
fB8TyLTD7EE,"RISE (ft. The Glitch Mob, Mako, and The Word Alive) | Worlds 2018 - League of Legends",Reaching the peak takes more than skill. Only those with the ambition to RISE above all others will know its height. For more ...,,,1,"['Entertainment', 'memes']",27.0,
SiE5uLjCtxU,I streamed until I beat League. It was a mistake.,#ludwig.,,,1,"['Entertainment', 'memes']",27.0,
GnsRzWWnRo8,Poppy Champion Overview | Gameplay - League of Legends: Wild Rift,Feeling a bit lost and uninspired? Fear not! #Poppy arrives on March 28th UTC with enough purpose for everybody! Learn more at ...,,,1,"['Entertainment', 'memes']",27.0,
Aqm23-_jvx8,Celestial Embroidery | Skin Trailer - League of Legends: Wild Rift,We've got new threads for the new year! Start weaving them on January 27th! Created in partnership with YIZ DESIGN: ...,,,1,"['Entertainment', 'memes']",27.0,
OtTJCtKpgYo,AIC 2024 FINAL REVIEW - THE KING RETURNS - Garena AOV Indonesia,"AIC 2024 FINAL REVIEW - THE KING RETURNS Tepat sebelum AIC, banyak penonton yang mengira bahwa region RPL secara ...",,,1,"['Entertainment', 'memes']",27.0,
ukhcyHb5kHA,Dawn of the Duelist // VALORANT Masters Bangkok Cinematic,"In the heart of Thailand, where pros turn into masters, this is the Dawn of the Duelist. The top 8 teams from around the world will ...",,,1,"['Entertainment', 'memes']",27.0,
zF5Ddo9JdpY,Awaken | Season 2019 Cinematic - League of Legends (ft. Valerie Broussard),A deadly masterpiece unfolds. A lone resistance made whole. A chance to come alive. Season 2019 has begun - why will you ...,,,1,"['Entertainment', 'memes']",27.0,
ZHhqwBwmRkI,"Still Here | Season 2024 Cinematic - League of Legends (ft. Forts, Tiffany Aris, and 2WEI)","Past, present, and possible futures—we remember them all. Season 2024 is now live. How will you fight for tomorrow? Video ...",,,1,"['Entertainment', 'memes']",27.0,
