id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
KF7afXulR1c,We're Starting Off with a Double Rank Up?!...Classic Only in Japan!,"What's up guys, it's your resident strong independent asian man, royalG, and it finally begins... our classic only challenge in Japan ...",,,1,"['Entertainment', 'memes']",27.0,
YNlYuy3Jf5g,Gen.G vs BOOM Esports - HIGHLIGHTS | Champions Tour 2025: Pacific Stage 1,geng #bme #gengvsbme ▻Watch Live: https://www.twitch.tv/valorant_pacific © This is our original video with many high-quality ...,,,1,"['Entertainment', 'memes']",27.0,
k2ocKI18AXI,SUKHWINDER: THE LASSI RETURNS | VALORANT,It's been a while. Heck! It's been years. So I guess get your yearly dose of Sukhwinder in some funny Valorant Gameplay.,,,1,"['Entertainment', 'memes']",27.0,
gi-G-QpN7IQ,A Valorant Video BUT All of my ACEs So Far...😎,"Ayye Back again with a New Valorant Video, Where I show off all the Aces I've got so far in Valorant, whether its in competitive, ...",,,1,"['Entertainment', 'memes']",27.0,
pHEtT-p78Jw,VALORANT BUT YOU'RE TOP 500,"VALORANT BUT YOU'RE TOP 500 - VALORANT Perfect Aim, Pro Player Reaction Time, 1v5 Clutch Plays and Best Ultra Instinct ...",,,1,"['Entertainment', 'memes']",27.0,
kdxwx7dr3CA,The CALMEST Calm Aimer In Valorant..,"The CALMEST Calm Aimer In Valorant.. Make sure to leave a like, subscribe and turn on notifications so you don't miss a video!",,,1,"['Entertainment', 'memes']",27.0,
h7MYJghRWt0,Die For You ft. Grabbitz // Official Music Video // VALORANT Champions 2021,#VALORANT #VALORANTChampionsTour #VALORANTChampions PRODUCTION CREDITS: Grabbitz - “Die For You” Written ...,,,1,"['Entertainment', 'memes']",27.0,
jIYf2HcmvfM,Sentinels vs 100 Thieves - HIGHLIGHTS | Champions Tour 2025: Americas Stage 1,© This is our original video with many high-quality edits and original creative ideas. We try our best to bring you the best and most ...,,,1,"['Entertainment', 'memes']",27.0,
MuQiAdcDIM4,"""Climbing to diamond: The Ultimate Valorant Journey""","""Valorant Rank-Up Journey: Road to diamond"" Join me as I take on the ultimate grind in Valorant, climbing the ranks from Gold to ...",,,1,"['Entertainment', 'memes']",27.0,
OHzUoFKPUB0,DAWN BREAKS // Waylay Agent Trailer - VALORANT,Bend light to break your foes with Waylay – VALORANT's new Thai Duelist Agent. Available with the launch of Season 25: ACT II.,,,1,"['Entertainment', 'memes']",27.0,
T4wVsBw_SzQ,21 Tips Every Valorant Player Needs to Know,"Want to rank up fast in Valorant? These 21 essential tips will help you improve your gameplay instantly! I'm Konpeki, a radiant ...",,,1,"['Entertainment', 'memes']",27.0,
Q7Pabw5JZLQ,Neon META is BACK From the Dead!,"Hope you guys learned something from this, I know I did! Want me to help you rank up? Check out my hand crafted Duo's ...",,,1,"['Entertainment', 'memes']",27.0,
ZBsXvRR-HT0,SMARTEST MOMENTS IN VALORANT #205,"SMARTEST MOMENTS IN VALORANT #205... 200 IQ Outplays, Big Brain Tricks, Creative Ability Usage and Smart Plays on PC, ...",,,1,"['Entertainment', 'memes']",27.0,
hndSKcE1CKg,Playing Waylay with No Fear in APAC Ranked...,getting kind of bored of waylay... might go back to jett after I hit immortal and try for apac radiant... hope you guys enjoy the video ...,,,1,"['Entertainment', 'memes']",27.0,
ukhcyHb5kHA,Dawn of the Duelist // VALORANT Masters Bangkok Cinematic,"In the heart of Thailand, where pros turn into masters, this is the Dawn of the Duelist. The top 8 teams from around the world will ...",,,1,"['Entertainment', 'memes']",27.0,
DibZ3Vhrze4,Professional Immortal Booster #16 (VALORANT),Professional Immortal Booster #16 (VALORANT) Like & Subscribe business inquiries: furkanguzel030@gmail.com Instagram: ...,,,1,"['Entertainment', 'memes']",27.0,
ocsLJ_PNVuE,SMARTEST MOMENTS IN VALORANT #204,"SMARTEST MOMENTS IN VALORANT #204... 200 IQ Outplays, Big Brain Tricks, Creative Ability Usage and Smart Plays on PC, ...",,,1,"['Entertainment', 'memes']",27.0,
IBBB4h1ctOc,CLOSED MOUTH to 3 TOP RADIANTS 🏆 Horcus Valorant,Twitch: https://www.twitch.tv/Horcus Twitter: https://twitter.com/Horcus Instagram: https://www.instagram.com/Horcus Tik Tok ...,,,1,"['Entertainment', 'memes']",27.0,
sxrSfF3Gh4Q,I Tried Valorant (as a brand new player),"Valorant has been out for awhile, so how is it for completely new players? For a whole week I attempted trying to play",,,1,"['Entertainment', 'memes']",27.0,
CL72bEpYZDQ,Harsh Ko Chhod Ke Hum Dinner Ke Liye Chale Gaye | Bharti Singh | Haarsh Limbachiyaa | Golla,Dekhiye Hamara Fresh New Content Only On Bharti TV* ⬇ ▶️ Haarsh Limbachiyaa's New Channel : ‪@haarshlimbaachiyaX‬ ...,,,1,"['Entertainment', 'memes']",27.0,
eqia-VHffyM,VALORANT But Only LEGENDARY 1v5's,"VALORANT But Only LEGENDARY 1v5's - Best 1v5 Comebacks, Pro Player Aces, Solo Clutch Moments and 200 IQ Plays in a ...",,,1,"['Entertainment', 'memes']",27.0,
gutnorLEdnM,Valorant Tips And Tricks Sent By You - Part 78,Vlogs: https://www.youtube.com/c/Emardo2 - Discord: https://discord.gg/mrlowlander ➕ - 0;P;c;1;h;0;f;0;0l;5;0o;2;0a;1;0f;0;1b;0 ...,,,1,"['Entertainment', 'memes']",27.0,
e3GasPiFYic,How I would learn Valorant if I started over,In this video I explain how I would learn VALORANT again if I were to start over from scratch! ✍️Apply for the Immortal Roadmap ...,,,1,"['Entertainment', 'memes']",27.0,
3fTlcH69hLE,TLN vs. TS - VCT Pacific - Stage 1 - Group Stage - Day 2,TLN vs. TS - VCT Pacific - Stage 1 - Group Stage - Day 2 MATCH 1 : DRX vs. PRX MATCH 2 : TLN vs TS.,,,1,"['Entertainment', 'memes']",27.0,
fKyHdXpp4yU,FUNNIEST MOMENTS IN VALORANT #237,"FUNNIEST MOMENTS IN VALORANT #237... #funny #Fails , Iron Plays and Best Voice Chat Moments on PS5, Xbox, and Mobile ...",,,1,"['Entertainment', 'memes']",27.0,
sFgK0DRUFU4,Jo nai nacha uski shandi I DXE CaspeR Valorant I !insta #valorant,E-Sports Valorant Athlete and Content creator : CaspeR (Neha Sottany) You Can Follow Me On My Socials Insta: / casperminek ...,,,1,"['Entertainment', 'memes']",27.0,
efBjzpcEpLA,Professional Immortal Booster #15 (VALORANT),Professional Immortal Booster #15 (VALORANT Speedrun) Like & Subscribe business inquiries: furkanguzel030@gmail.com ...,,,1,"['Entertainment', 'memes']",27.0,
dXYllcjtR-o,VALORANT Masters Bangkok - Playoffs - Day 1,"From February 20th to March 2nd, Masters Bangkok will bring together the world's best VALORANT players for an epic showdown ...",,,1,"['Entertainment', 'memes']",27.0,
CdZN8PI3MqM,Ticking Away ft. Grabbitz & bbno$ (Official Music Video) // VALORANT Champions 2023 Anthem,"A story we all know too well. Of growing up, growing apart, and staying together across the many One More's of life, love, and ...",,,1,"['Entertainment', 'memes']",27.0,
IGueZcZNk5k,SMARTEST MOMENTS IN VALORANT #183,"SMARTEST MOMENTS IN VALORANT #183... 200 IQ Outplays, Big Brain Tricks, Creative Ability Usage and Smart Plays on PC, ...",,,1,"['Entertainment', 'memes']",27.0,
BqjWJTzkdUc,SMARTEST MOMENTS IN VALORANT #206,"SMARTEST MOMENTS IN VALORANT #206... 200 IQ Outplays, Big Brain Tricks, Creative Ability Usage and Smart Plays on PC, ...",,,1,"['Entertainment', 'memes']",27.0,
OHzUoFKPUB0,DAWN BREAKS // Waylay Agent Trailer - VALORANT,Bend light to break your foes with Waylay – VALORANT's new Thai Duelist Agent. Available with the launch of Season 25: ACT II.,,,1,"['Entertainment', 'memes']",27.0,
VuwbeSq6dGY,THE ANNUAL 100 THIEVES A$$ WHOOPING,Whenever we play 100 Thieves it's always a good time... Check out Starforge Systems PCs here!,,,1,"['Entertainment', 'memes']",27.0,
sz4V2c9843o,Waylay All Abilities Explained | VALORANT New Agent,"Waylay is VALORANT's newest duelist agent, and in this video I go over all 4 of her abilities, and explain what they do!",,,1,"['Entertainment', 'memes']",27.0,
z8r53S4nYTw,TenZ TESTS & REACTS TO *NEW* BROKEN DUELIST WAYLAY !!!!,TenZ got to exclusively try the Valorant new agent and duelist from Bangkok during the VCT! Don't forget to like and leave a ...,,,1,"['Entertainment', 'memes']",27.0,
wN0CPDn0ktw,The BIGGEST UPSET in VALORANT History...,▻BUSINESS: teetstvbusiness@gmail.com 00:00 Intro 00:36 Round 0-0 - Come Out of the Closet 03:38 Round 2-3 - Open the ...,,,1,"['Entertainment', 'memes']",27.0,
X18DjnBNZI0,50 INCREDIBLY LUCKY PLAYS IN VALORANT,"50 INCREDIBLY LUCKY PLAYS IN VALORANT - The Most Calculated VALORANT Plays, 200 IQ Tricks, 1 HP Outplays, Best ...",,,1,"['Entertainment', 'memes']",27.0,
BdJYcCwYOaY,SEN vs. 100T - VCT Americas Stage 1 - Week 1 Day 3,"VCT Americas keeps moving forward, and so do the teams chasing their dreams of reaching VALORANT Champions Paris.",,,1,"['Entertainment', 'memes']",27.0,
_i6vRMWQU1o,Can 5 Gamers Beat 2 Valorant Pros?,#ludwig #tarik #valorant.,,,1,"['Entertainment', 'memes']",27.0,
GlG4_AUm6hk,Tejo is DESTROYING the Way VALORANT is Played...,▻BUSINESS: teetstvbusiness@gmail.com Edited by One and Only🗣️ : IG: https://www.instagram.com/breexyno/ X: ...,,,1,"['Entertainment', 'memes']",27.0,
8SMfP0mdi0Q,50 Times Valorant Players Won The IMPOSSIBLE 1v5...,"50 Times Valorant Players Won The IMPOSSIBLE 1v5... - Best 1v5 Comebacks, Pro Player Aces, Solo Clutch Moments and 200 ...",,,1,"['Entertainment', 'memes']",27.0,
JamN-6ZC8o0,How nAts SMURFED on SENTINELS!,"Hope you guys learned something from this, I know I did! Become a Brain Bud today and gain access to my library of hand-crafted ...",,,1,"['Entertainment', 'memes']",27.0,
-NBNYDqcGDQ,FUNNIEST MOMENTS IN VALORANT #236,"FUNNIEST MOMENTS IN VALORANT #236... #funny #Fails , Iron Plays and Best Voice Chat Moments on PS5, Xbox, and Mobile ...",,,1,"['Entertainment', 'memes']",27.0,
BcmWO2hTsSI,The Most Perfect Game of Valorant You Will Ever Watch,Tarik ends up playing one of the most perfect games in his Valorant ranked career. Watch to see how tarik destroys his enemies in ...,,,1,"['Entertainment', 'memes']",27.0,
gD-eWgfYC4s,VALORANT But You've MASTERED Yoru,"VALORANT But You've MASTERED Yoru - 200 IQ Yoru Plays, Teleport Spots, Big Brain Baits, Tips and Tricks and Creative ...",,,1,"['Entertainment', 'memes']",27.0,
2JC_R-JBYQI,Aimers: 49,#valorant #dacoit #aimers.,,,1,"['Entertainment', 'memes']",27.0,
5SxXADDoaNw,"5 Platinum VS 5 Immortal, but Immortal AFK for 12 Rounds!",Play Like a PRO with TapinGG - Connect with the Best & Learn today! https://share.tapin.gg/CURIOSGG ✔️ 25% OFF your ...,,,1,"['Entertainment', 'memes']",27.0,
7hLhwsfG_rU,"MILLI, VALORANT - ONE PUNCH (Official Lyric Video)","WARNING: CONTAINS STROBING LIGHT ⚠️ ** MILLI, VALORANT - ONE PUNCH (Official Lyric Video) MILLI x VALORANT ...",,,1,"['Entertainment', 'memes']",27.0,
B_FvSXn0Gqo,Valorant's Fakest Personality,"WestJett goes over SEN PR Tarik, The most soulless valorant creator. Over the whole Zellsis Situation drama, Shadow of his ...",,,1,"['Entertainment', 'memes']",27.0,
iYFh_XAXSPk,GREATER THAN ONE // Gekko Agent Trailer - VALORANT,"Why settle for one, when you can have five? Meet Dizzy, Wingman, Thrash, and Mosh—a crew of calamitous creatures headed up ...",,,1,"['Entertainment', 'memes']",27.0,
dzEy1O_GCuY,50 Times Valorant Players Clutched an IMPOSSIBLE 1v5,"50 Times Valorant Players Clutched an EPIC 1v5 - Best 1v5 Comebacks, Pro Player Aces, Solo Clutch Moments and 200 IQ Plays ...",,,1,"['Entertainment', 'memes']",27.0,
XQgnfJ_qtwQ,VALORANT has a Huge Problem...,Business email: flexinja96@gmail.com. My Most Used Crosshairs 1. the tony - 0;c;1;s;1;P;o;1;d;1;z;1;f;0;0t;1;0l;1;0o;0;0a;1;0f;0;1b ...,,,1,"['Entertainment', 'memes']",27.0,
1w-yZgfxGvs,When WAYLAY Mains Get Creative...,"When WAYLAY Mains Get Creative... - Best Tricks & 200 IQ Outplays - VALORANT - REFRACT, LIGHT SPEED, SATURATE and ...",,,1,"['Entertainment', 'memes']",27.0,
vBI7AgQvDhA,200 IQ Tricks and Baits in VALORANT,"200 IQ Tricks and Baits in VALORANT - 200 IQ Outplays, Big Brain Tricks, Creative Ability Usage and Smart Plays in a Valorant ...",,,1,"['Entertainment', 'memes']",27.0,
qdcqttUbvDo,"i found the ""happiest"" valorant player","sigh anyone have a mic? its me, the raze. yeah, its been a rough day. i've played 32 games and lost 21 of them. i was one game ...",,,1,"['Entertainment', 'memes']",27.0,
r921kHDXMxw,70% HS in RADIANT,"If you want to become the best and get coached in valorant, join my server discord.gg/haeyoday sens: 0.34 3200 DPI Socials: ...",,,1,"['Entertainment', 'memes']",27.0,
b6uhZYGOuUM,How I dropped 50 kills as Omen in Valorant,STREAMING EVERYDAY AT TWITCH COME HANGOUT !!!! Twitch: https://www.twitch.tv/flexinja ⭐Socials Twitter: ...,,,1,"['Entertainment', 'memes']",27.0,
q2eLOupmraQ,RECKONING // Episode 8 Cinematic - VALORANT,The truth... won't stay hidden forever. Bring the fight and make them know your name in Episode 8: DEFIANCE. Made in ...,,,1,"['Entertainment', 'memes']",27.0,
ms-Z02YY6Ak,Valorant needs to fix this immediately...,STREAMING EVERYDAY AT TWITCH COME HANGOUT !!!! Twitch: https://www.twitch.tv/flexinja ⭐Socials Twitter: ...,,,1,"['Entertainment', 'memes']",27.0,
yUo4ULfqcpU,50 times Valorant pros clutched an unwinnable 1v5,"50 times Valorant pros clutched an unwinnable 1v5 - Perfect Aim, Pro Player Reaction Time, 1v5 Clutch Plays, VCT and Best Ultra ...",,,1,"['Entertainment', 'memes']",27.0,
pQGdjZbkyrY,VALORANT Masters Bangkok - Playoffs - Day 2,"From February 20th to March 2nd, Masters Bangkok will bring together the world's best VALORANT players for an epic showdown ...",,,1,"['Entertainment', 'memes']",27.0,
ukhcyHb5kHA,Dawn of the Duelist // VALORANT Masters Bangkok Cinematic,"In the heart of Thailand, where pros turn into masters, this is the Dawn of the Duelist. The top 8 teams from around the world will ...",,,1,"['Entertainment', 'memes']",27.0,
1_3FU5Oznl8,SMARTEST MOMENTS IN VALORANT #197,"SMARTEST MOMENTS IN VALORANT #197... 200 IQ Outplays, Big Brain Tricks, Creative Ability Usage and Smart Plays on PC, ...",,,1,"['Entertainment', 'memes']",27.0,
X0_R1e-HSvA,Iron to Radiant Speedrun (VALORANT WORLD RECORD),"Iron to Radiant, Valorant World Record. In this video, I take an iron account to radiant in 74 hours of playtime. All Valorant ...",,,1,"['Entertainment', 'memes']",27.0,
2GYFXj9CVjs,SMARTEST MOMENTS IN VALORANT #191,"SMARTEST MOMENTS IN VALORANT #191... 200 IQ Outplays, Big Brain Tricks, Creative Ability Usage and Smart Plays on PC, ...",,,1,"['Entertainment', 'memes']",27.0,
FNqfTaSDb1Y,ASPAS BREAKS THE WORLD RECORD OF KILLS WITH WAYLAY,📱 Redes Sociais: https://konect.gg/aspas Clica em mostrar mais pra ver a descrição ↓ 🐦Twitter: https://twitter.com/aspaszin ...,,,1,"['Entertainment', 'memes']",27.0,
TP8RF0zBVuE,7 Things Everyone Gets Wrong About Valorant,"In this video, I go over 7 myths everyone gets wrong about Valorant. These myths can lead to issues and mistakes that, if avoided, ...",,,1,"['Entertainment', 'memes']",27.0,
m3ONrCgQDR0,THE POWER OF WAYLAY - Best Tricks & 200 IQ Outplays - VALORANT,"THE POWER OF WAYLAY - Best Tricks & 200 IQ Outplays - VALORANT - REFRACT, LIGHT SPEED, SATURATE and ...",,,1,"['Entertainment', 'memes']",27.0,
hLmPero-cvU,$1 vs $1000 Valorant Coach!,What can you get from a $1 Valorant Coach? What about $1000? Well I experienced coaching from Fiverr freelancers to pro ...,,,1,"['Entertainment', 'memes']",27.0,
uzba_LiDtYQ,I Accidentally Entered PLAT Lobby in EU... | TenZ,Is plat actually harder than radiant ranked? What do you guys think? [Partnerships] - My go-to gaming chair - the Secretlab TITAN ...,,,1,"['Entertainment', 'memes']",27.0,
qQowyxDpFXY,Valorant HATES its Community,"In this video, I talk about the way Riot completely disregards the wishes of its playerbase and the Night Market Scam. Some of the ...",,,1,"['Entertainment', 'memes']",27.0,
denzdZV9Ngg,5 Steps to Finally Fix Your Aim,Every valorant player struggles with their aim or their consistency. That's why in this valorant guide I'll go over 5 steps to finally fix ...,,,1,"['Entertainment', 'memes']",27.0,
joBdydXswTQ,1v1 vs EVERY RANK in Valorant (Iron to Radiant),Today I 1v1ed every rank in valorant from Iron all the way to Radiant to test my skill against the best of the best. Can I beat ...,,,1,"['Entertainment', 'memes']",27.0,
faQXuaqJ6FI,RANK #1 Chamber Main,RANK #1 Chamber Main Live daily on: https://twitch.tv/fyr:vl Check out All my Socials: https://xxo.lol/fyr Chamber is my go-to agent ...,,,1,"['Entertainment', 'memes']",27.0,
