id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
VAQRaGdE4CI,Funny Vines May 2024 (Part 1) TBT Clean Vine,New TBT Vine with the Best Clean Vines of May Subscribe to CooL Vines ▻ http://goo.gl/AO95W6.,,,1,"['Entertainment', 'memes']",27.0,
_O7G7fdCn0Y,vines that cared for me when no one else did,"like & subscribe xo cashapp: $fr0zenintimeee Copyright Disclaimer Under Section 107, allowance is made for ""fair use"" for ...",,,1,"['Entertainment', 'memes']",27.0,
tch1fKJJtJ4,Vines i reference every day : RIP VINE,vines i reference every day if my life. rip vine. I don't own these vines I just think they are funny.,,,1,"['Entertainment', 'memes']",27.0,
nwP3TeK-fPs,"iconic, legendary vine compilation",Bring back vine ffs. (ノಠ益ಠ)ノ彡┻━┻ ^^^^^^^^^^^^^^^ my socials - Insta : https://www.instagram.com/sourclood/ Twitter ...,,,1,"['Entertainment', 'memes']",27.0,
U3ipGb_IOVA,TRY NOT TO LAUGH CHALLENGE | The Best Funny Vines Videos of All Time Compilation # 1 | March 2018,All content used is commercially licensed via Collab Inc. The most popular vines all in one compilation from March 2018!,,,1,"['Entertainment', 'memes']",27.0,
iVK-Pxp3L-k,2023 vine compilation because y'all forgot the classics,Not a fan of tiktok or the state of the world? Have the GREATEST MOST ICONIC LEGENDARY HILARIOUS VINES EVER and ...,,,1,"['Entertainment', 'memes']",27.0,
FWPa7GqVMYM,Best of Marlon Webb Vine Compilation 2016 | All Marlon Webb Vines with Titles,The Best Vines of Marlon Webb Vine Compilation Watch Marlon Webb Funny Vines https://vine.co/u/967968183032102912 ...,,,1,"['Entertainment', 'memes']",27.0,
Sdkwu2FvFfI,iconic vines that changed the world,like & subscribe xo cashapp: $fr0zenintimeee insta: https://www.instagram.com/fr0zenintimeee twitter: ...,,,1,"['Entertainment', 'memes']",27.0,
vo3qLUki5L8,Funny KingBach Vine Compilation (W/Titles) Best KingBach Vines - Funny Comps,"Here is The Funniest KingBach Vine Compilation of 2018, Enjoy it :) Please don't forget to Like,Share and Subscribe to our ...",,,1,"['Entertainment', 'memes']",27.0,
g9Ge8z-nAEg,Top 100 Thomas Sanders Vines (W/Titles) Thomas Sanders Vine Compilation 2018 - Co Vines✔,"Top 100 Thomas Sanders Vines,Best Thomas Sanders Vine Compilation 2018 w/Titles! Please SUBSCRIBE For More Funny ...",,,1,"['Entertainment', 'memes']",27.0,
