id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
iU6C4tr_0W8,Slightly Offensive Shitposts,"Calling them ""memes"" over shitposts is a stretch join discord: https://discord.gg/memedoser Support my shitposting (before I get ...",,,1,"['Entertainment', 'memes']",27.0,
6VhdbA4bs5U,Shitpost status V79,"a funny shitpost , meme compilation vol79 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
lGUCeXN--sg,Shitpost Status V164,"a funny shitpost , meme compilation vol164 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
KA_sCSi8Qbo,Shitpost Status V157,"a funny shitpost , meme compilation vol157 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
9zvF7_3wv_I,Random shitposts #2,Subscribe for more shitposts:),,,1,"['Entertainment', 'memes']",27.0,
4gjroGF-fVY,Bronze age shitposts,what if you wanted to go to heaven but god said 𒈗𒆠𒉌𒂠𒌌𒌌𒈗𒆠𒉌𒂠𒌌𒌌𒈗𒆠𒉌𒂠𒌌𒌌 Part 2 :https://youtu.be/F2cNsjW-k0M ...,,,1,"['Entertainment', 'memes']",27.0,
Req170pThhU,Shitpost Status V159,"a funny shitpost , meme compilation vol159 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
BRKW5MMzBh4,Random shitpost i found on r/GoCommitDie Part48,I don't own any of this clips credits to the real owners :) #roblox #meme #compilation #funny #youtuber #rGoCommitDie ...,,,1,"['Entertainment', 'memes']",27.0,
Wa5AMpPVk8c,Shitposting Random V4,Gracias por pasarte a ver el video c: Canción de la intro y del final: https://youtu.be/4EbdUcLlMRU?si=zAU4MCQHqfLZ-L_X ...,,,1,"['Entertainment', 'memes']",27.0,
knWubfZCKzY,Shitpost status V94,"a funny shitpost , meme compilation vol94 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
28_6sG8I46s,Slightly Offensive Shitposts,Slightly Offensive memes once more join discord: https://discord.gg/memedoser Support my shitposting (before I get deleted ...,,,1,"['Entertainment', 'memes']",27.0,
BYV7CtoKTX4,spamton shitpost,IDK MAN i thought the audio was funny Edit: this is getting hella views so I'll promote my ACTUAL art Instagram: ...,,,1,"['Entertainment', 'memes']",27.0,
NEVLyA4Mq1o,Shitposting Compilation V35,Registrate en 1XBET (De paso apoyas el canal ❤) Usa el codigo comedian1x Al registrarte Shitposting Compilation ...,,,1,"['Entertainment', 'memes']",27.0,
ENO_uQ7-wWM,Memes e Shitposts T4 Ep171,aqui está um compilado de memes para você passar o seu tempo rindo com a diversidade de imagens e acontecimentos hilários ...,,,1,"['Entertainment', 'memes']",27.0,
owARLpTcoq4,Memes e Shitposts T4 Ep196,aqui está um compilado de memes para você passar o seu tempo rindo com a diversidade de imagens e acontecimentos hilários ...,,,1,"['Entertainment', 'memes']",27.0,
i7OBWTNkuAE,Shitpost status V37,"a funny shitpost , meme compilation vol37 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
oEJyWj1R0jM,Shitpost status V130,"a funny shitpost , meme compilation vol130 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
SOLev4u-nRE,Shitpost Status V163,"a funny shitpost , meme compilation vol163 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
QdIFjgoz37c,Shitpost Status V150,"a funny shitpost , meme compilation vol150 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
AXhUjrz9C5A,Shitpost status V69,"a funny shitpost , meme compilation vol69 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
uHYcZz8HqVY,Shitpost Status V160,"a funny shitpost , meme compilation vol160 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
vgZZO9QMGtw,CAR CRASH 💥 GLASS SHATTERING!! GOOD LORD! |Pressure shitpost,sebastian ptsd #pressure #roblox #memes.,,,1,"['Entertainment', 'memes']",27.0,
Y1VYl7nxVxk,Jujutsu Kaisen SHITPOST (toji vs gojo meme),modi vs jinping but its jjk toji vs gojo indian live i made this in 20 minutes at 1:10 am help.,,,1,"['Entertainment', 'memes']",27.0,
xENxCEElGP0,Shitpost Status V162,"a funny shitpost , meme compilation vol162 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
zCEZzSBQk8s,Shitpost status V129,"a funny shitpost , meme compilation vol129 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
g97PwP24aL4,Shitpost Status V158,"a funny shitpost , meme compilation vol158 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
7ryU6wM8ndM,Shitpost Status V153,"a funny shitpost , meme compilation vol153 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
8rykL_kZYSg,Shitpost compilation 26 (exam special),"To compensate for my absence as a result of my exams, I've made this one twice as long.",,,1,"['Entertainment', 'memes']",27.0,
AM3h8rHuT8c,Shitpost Status V152,"a funny shitpost , meme compilation vol152 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
uMEvNVIIwWw,daily dose of cringe shitpost | ylyl v46,"Discord Meme Archive, with all the memes that have been used in my videos: discord.gg/sooqa If you like memes, subscribe for ...",,,1,"['Entertainment', 'memes']",27.0,
MlfCnyZlQP0,Shitpost Status V155,"a funny shitpost , meme compilation vol155 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
DKs1hIBPEGA,Shitpost compilation 24,This streak of late uploads is getting out of hand.,,,1,"['Entertainment', 'memes']",27.0,
u6zhJB-0_n0,Shitpost Status V161,"a funny shitpost , meme compilation vol161 More shitpost: ...",,,1,"['Entertainment', 'memes']",27.0,
YaKcrrttTUw,Shitpost Status Compilation V26,Join my patreon for exclusive content such as uncensored meme comps! These editions of each video are much longer than what ...,,,1,"['Entertainment', 'memes']",27.0,
