id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
CtsRRUddV2s,Linear Regression in 2 minutes,Linear Regression in 2 minutes. --------------- Credit: Manim and Python : https://github.com/3b1b/manim Blender3D: ...,,,0,"['Education', 'maths']",27.0,
zPG4NjIkCjc,An Introduction to Linear Regression Analysis,Tutorial introducing the idea of linear regression analysis and the least square method. Typically used in a statistics class. Playlist ...,,,0,"['Education', 'maths']",27.0,
7ArmBVF2dCs,"Linear Regression, Clearly Explained!!!","If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: ...",,,0,"['Education', 'maths']",27.0,
GhrxgbQnEEU,How To... Perform Simple Linear Regression by Hand,Learn how to make predictions using Simple Linear Regression. To do this you need to use the Linear Regression Function (y = a ...,,,0,"['Education', 'maths']",27.0,
9wX1a1J4WOI,How To Perform Simple Linear Regression In Excel,"In this video tutorial, I'm going to show you how you can perform a simple linear regression test by using Microsoft Excel. Not only ...",,,0,"['Education', 'maths']",27.0,
P8hT5nDai6A,Linear Regression Using Least Squares Method - Line of Best Fit Equation,This statistics video tutorial explains how to find the equation of the line that best fits the observed data using the least squares ...,,,0,"['Education', 'maths']",27.0,
L_a8Z0BVjyM,How to do a linear regression on excel,,,,0,"['Education', 'maths']",27.0,
gPfgB4ew3RY,Simple Linear Regression: An Easy and Clear Beginner’s Guide,"In this video, you'll learn the basics of Simple Linear Regression: what it is, how it works, and why it's useful. We'll walk through ...",,,0,"['Education', 'maths']",27.0,
O8G60sGC0Uk,LPP -Graphical method [#2.2][Minimisation with two constraints]:- by online learning.,In this video we discuss about LPP by graphical method .I hope you will understand all the concepts.i tried my best to clear all the ...,,,0,"['Education', 'maths']",27.0,
KwQsV77bYDY,Excel Basics - Linear Regression - Finding Slope & Y Intercept,This video tutorial provides a basic introduction into the linear regression of a data set within excel. It explains how to find the ...,,,0,"['Education', 'maths']",27.0,
18uvIX5SIvg,Simple Linear Regression 🔥,Simple Linear Regression in Machine Learning in Hindi is taught in this lecture. This lecture contains a numerical and a ...,,,0,"['Education', 'maths']",27.0,
sKfAmFK6u8A,Regression equation || How to find regression equation,"OR, visit playlist to get all the videos on Numerical method: ...",,,0,"['Education', 'maths']",27.0,
nvucOKmJwLs,Graphical Method (Linear Programming Problem) (Operation Research) by Soniya Chauhan,bscmaths #bsc3rdyearmaths #bsc3year #bsc3rdmaths #mscmathematics #mscmaths #mscmath #btechmathematics #btechmaths ...,,,0,"['Education', 'maths']",27.0,
8jazNUpO3lQ,Machine Learning Tutorial Python - 2: Linear Regression Single Variable,In this tutorial we will predict home prices using linear regression. We use training data that has home areas in square feet and ...,,,0,"['Education', 'maths']",27.0,
QcPycBZomac,Linear Regression Algorithm – Solved Numerical Example in Machine Learning by Mahesh Huddar,Linear Regression Algorithm – Solved Numerical Example in Machine Learning by Mahesh Huddar The following concepts are ...,,,0,"['Education', 'maths']",27.0,
qxo8p8PtFeA,Why Linear regression for Machine Learning?,"In the world of Artificial Intelligence, Large Language Models [LLMs] and chatbots may have the current spotlight and global ...",,,0,"['Education', 'maths']",27.0,
m88h75F3Rl8,The linear regression model,It is time for the actual introduction of regressions! Let's start with some dry theory. A linear regression is a linear approximation of ...,,,0,"['Education', 'maths']",27.0,
zUQr6HAAKp4,Lec-4: Linear Regression📈 with Real life examples & Calculations | Easiest Explanation,00:00 – Introduction 00:38 – Linear regression 01:09 – equation 02:33 – Project Linear regression is a fundamental statistical ...,,,0,"['Education', 'maths']",27.0,
eYTumjgE2IY,Learn Statistical Regression in 40 mins! My best video ever. Legit.,0:00 Introduction 2:46 Objectives of regression 4:43 Population regression equation 9:34 Sample regression line 18:51 ...,,,0,"['Education', 'maths']",27.0,
owI7zxCqNY0,Video 1: Introduction to Simple Linear Regression,"We review what the main goals of regression models are, see how the linear regression models tie to the concept of linear ...",,,0,"['Education', 'maths']",27.0,
HyYvH3jSrVQ,Learn Regression Analysis in Excel in Just 12 Minutes,... Chapters: 0:00 - Regression Chart 2:22 - Simple Linear Regression 4:16 - Summary Output 9:05 - Multiple Regression ...,,,0,"['Education', 'maths']",27.0,
06en5XqdPkI,Linear Regression vs Logistic Regression - What's The Difference?,"Whether it's predicting the stock market, estimating the likelihood of a customer churning, or even guessing the type of fruit based ...",,,0,"['Education', 'maths']",27.0,
i3IadpjctWg,Multiple Linear Regression: An Easy and Clear Beginner’s Guide,Multiple Linear Regression is a statistical technique used to model the relationship between one dependent variable and two or ...,,,0,"['Education', 'maths']",27.0,
P8NZB0VQeLA,Excel Multiple Regression,"First, we have the regression statistics that tell you how well the calculated linear regression equation fits your data. The second ...",,,0,"['Education', 'maths']",27.0,
PaFPbb66DxQ,The Main Ideas of Fitting a Line to Data (The Main Ideas of Least Squares and Linear Regression.),"Fitting a line to data is actually pretty straightforward. For a complete index of all the StatQuest videos, check out: ...",,,0,"['Education', 'maths']",27.0,
bRl2IXIjuqE,Linear Regression Practical Implementation In Hindi,From my side you can avail additional 10% discount by using coupon code Krish10 Or Sudhanshu10. Don't miss this opportunity ...,,,0,"['Education', 'maths']",27.0,
sDv4f4s2SB8,"Gradient Descent, Step-by-Step","NOTE: This video assumes you are already familiar with Least Squares and Linear Regression. If not, here's the link to the Quest: ...",,,0,"['Education', 'maths']",27.0,
4b4MUYve_U8,Stanford CS229: Machine Learning - Linear Regression and Gradient Descent | Lecture 2 (Autumn 2018),This lecture covers supervised learning and linear regression. Andrew Ng Adjunct Professor of Computer Science ...,,,0,"['Education', 'maths']",27.0,
NUXdtN1W1FE,Linear Regression Analysis | Linear Regression in Python | Machine Learning Algorithms | Simplilearn,This Linear Regression Analysis video will help you understand the basics of linear regression algorithm. You will learn how ...,,,0,"['Education', 'maths']",27.0,
nk2CQITm_eo,"Linear Regression, Clearly Explained!!!","If you'd like to support StatQuest, please consider... Patreon: https://www.patreon.com/statquest ...or... YouTube Membership: ...",,,0,"['Education', 'maths']",27.0,
0m-rs2M7K-Y,Regression Analysis | Full Course,"Further you will be able to interpret your results, understand the assumptions for a linear regression and the use of Dummy ...",,,0,"['Education', 'maths']",27.0,
vKGphOrzze8,How to do Simple Linear Regression in JASP (14-7),"Exploring our data about burnout and job satisfaction, we predict an outcome with a single variable using simple linear regression ...",,,0,"['Education', 'maths']",27.0,
xTpHD5WLuoA,Correlation and Regression Analysis: Learn Everything With Examples,"Correlation and Regression Analysis With Examples, Correlation Coefficient, Correlation: Hello Friends, Correlation and ...",,,0,"['Education', 'maths']",27.0,
uWR2IWS0qJ8,How to do simple linear regression in SPSS,,,,0,"['Education', 'maths']",27.0,
LVnHpmbv7Yg,Pre-Calculus - Find the linear regression line using the TI-83/84 calculator,This video shows how to find the linear regression line using either a TI-83 or 84 calculator. Remember that if you do not see r ...,,,0,"['Education', 'maths']",27.0,
6xcQYmPDqXs,How to do Simple Linear Regression in SPSS (14-5),"We will be computing a simple linear regression in SPSS using the dataset JobSatisfaction.sav, in which an administrator at a ...",,,0,"['Education', 'maths']",27.0,
J_LnPL3Qg70,Machine Learning Tutorial Python - 3: Linear Regression Multiple Variables,"In this machine learning tutorial with python, we will write python code to predict home prices using multiple variable linear ...",,,0,"['Education', 'maths']",27.0,
C5268D9t9Ak,Logistic Regression [Simply explained],"What is a Logistic Regression? How is it calculated? And most importantly, how are the logistic regression results interpreted?",,,0,"['Education', 'maths']",27.0,
WWqE7YHR4Jc,Regression: Crash Course Statistics #32,Today we're going to introduce one of the most flexible statistical tools - the General Linear Model (or GLM). GLMs allow us to ...,,,0,"['Education', 'maths']",27.0,
O2Cw82YR5Bo,Linear Regression in Python - Full Project for Beginners,"Welcome to this comprehensive ""Linear Regression with Python Tutorial"" for beginners! In this video, we will cover the basics of ...",,,0,"['Education', 'maths']",27.0,
ltXSoduiVwY,How to implement Linear Regression from scratch with Python,"In the second lesson of the Machine Learning from Scratch course, we will learn how to implement the Linear Regression ...",,,0,"['Education', 'maths']",27.0,
q1RD5ECsSB0,Multiple Linear Regression in R | R Tutorial 5.3 | MarinStatsLectures,"◼︎ Table of Content: 0:00:07 Multiple Linear Regression Model 0:00:32 How to fit a linear model in R? using the ""lm"" function ...",,,0,"['Education', 'maths']",27.0,
EKm0spFxFG4,Logistic Regression in 3 Minutes,"To support more videos like this, please check out my O'Reilly books. Essential Math for Data Science https://amzn.to/3Vihfhw ...",,,0,"['Education', 'maths']",27.0,
sg_qvRl9gAI,Linear Regression,,,,0,"['Education', 'maths']",27.0,
iIUq0SqBSH0,Linear Regression Explained Simply,"Simple Linear regression is the most basic machine learning algorithm. When getting started with machine learning, linear ...",,,0,"['Education', 'maths']",27.0,
EmSNAtcHLm8,What are the main Assumptions of Linear Regression? | Top 5 Assumptions of Linear Regression,"In this video, we will discuss the assumptions of linear regression in detail. We will first discuss all the assumptions in theory, and ...",,,0,"['Education', 'maths']",27.0,
0as2Jh_eDwg,Linear Regression TI84 (Line of Best Fit),Learn how to find the line of best fit using the linear regression feature on your TI84 or TI83 Graphing Calculator. We go through ...,,,0,"['Education', 'maths']",27.0,
YxvoByLcFfw,How to do Simple Linear Regression by Hand (14-4),Simple Linear Regression is used to predict the value of an output variable from a predictor variable. Although it is unlikely that ...,,,0,"['Education', 'maths']",27.0,
MkNubKibM0A,How To... Perform Simple Linear Regression in Excel 2010,Use Excel to generate a Simple Regression Equation and to add a line of best fit to compare two sets of data. Excel also gives you ...,,,0,"['Education', 'maths']",27.0,
R15LjD8aCzc,Machine Learning in Python: Building a Linear Regression Model,"In this video, I will be showing you how to build a linear regression model in Python using the scikit-learn package. We will be ...",,,0,"['Education', 'maths']",27.0,
Z6HGJMUakmc,Bayesian Linear Regression : Data Science Concepts,"The crazy link between Bayes Theorem, Linear Regression, LASSO, and Ridge! LASSO Video ...",,,0,"['Education', 'maths']",27.0,
cA09_IdteV0,Linear Regression in Statistics Explained,Linear regression is a fundamental statistical method used to model the relationship between two variables. This video offers a ...,,,0,"['Education', 'maths']",27.0,
ajohJFbhSZA,How to perform Linear Regression,"In this tutorial i demonstrate how to fit the line of best-fit and estimate the equation of the line, for data plotted on an XY graph.",,,0,"['Education', 'maths']",27.0,
_OyKjstWe80,Multiple Linear Regression Solved Numerical Example in Machine Learning Data Mining by Mahesh Huddar,Multiple Linear Regression Solved Numerical Example in Machine Learning Data Mining by Mahesh Huddar #1. Multiple Linear ...,,,0,"['Education', 'maths']",27.0,
vPde9bYrr80,Regression analysis,This animation provides an explanation for how regression analysis can be used to examine the relationship between two or more ...,,,0,"['Education', 'maths']",27.0,
NqWkxbykZoo,How to do linear regression on TI-83+ graphing calculator,Just like title says.,,,0,"['Education', 'maths']",27.0,
KwQsV77bYDY,Excel Basics - Linear Regression - Finding Slope & Y Intercept,This video tutorial provides a basic introduction into the linear regression of a data set within excel. It explains how to find the ...,,,0,"['Education', 'maths']",27.0,
EMIyRmrPWJQ,"Linear Regression Model Techniques with Python, NumPy, pandas and Seaborn",Python #Regression #NumPy https://alphabench.com/data/python-linear-regression.html ✓ Please SUBSCRIBE: ...,,,0,"['Education', 'maths']",27.0,
VqKq78PVO9g,"Machine Learning Tutorial Python - 17: L1 and L2 Regularization | Lasso, Ridge Regression",... we use simple linear regression. Then we will use Lasso regression (L1 regularization) and ridge regression (L2 regression) to ...,,,0,"['Education', 'maths']",27.0,
a7_1-HNNAFw,Types of Regression Models | Simple Linear | Multiple | Polynomial | Logistic Regression Dr. Mahesh,Types of Regression Models | Simple Linear Regression Model | Multiple Regression Model | Polynomial Regression Model ...,,,0,"['Education', 'maths']",27.0,
GhMjti3DtPA,PREDICT THE FUTURE with LINEAR REGRESSION / How to use LINEST function / Beginners Guide to Power BI,In this video we're going to look at how you can use the LINEST and LINESTX functions to calculate linear regression in Power BI.,,,0,"['Education', 'maths']",27.0,
Z7m2bA5rLEM,Basic Linear Regression Example on the TI84,This video explains how to find the equation of a linear function that best fits given data. Site: http://mathispower4u.com.,,,0,"['Education', 'maths']",27.0,
1-OGRohmH2s,Tutorial 26- Linear Regression Indepth Maths Intuition- Data Science,"Please join as a member in my channel to get additional benefits like materials in Data Science, live streaming for Members and ...",,,0,"['Education', 'maths']",27.0,
66z_MRwtFJM,Simple Linear Regression in R | R Tutorial 5.1 | MarinStatsLectures,"How to fit a Linear Regression Model in R, Produce Summaries and ANOVA table for it. ◼︎ What to Expect in this R video ...",,,0,"['Education', 'maths']",27.0,
TJveOYsK6MY,Classification and Regression in Machine Learning,"In this short video, Max Margenot gives an overview of supervised and unsupervised machine learning tools. He covers ...",,,0,"['Education', 'maths']",27.0,
lzGKRSvs5HM,Linear Regression Explained in Hindi ll Machine Learning Course,Myself Shridhar Mankar an Engineer l YouTuber l Educational Blogger l Educator l Podcaster. My Aim- To Make Engineering ...,,,0,"['Education', 'maths']",27.0,
asWzD7JS_Cs,Regression Analysis in SPSS (Part 1),"In this video, I demonstrated how to perform regression analysis in SPSS in a special way it has never been done. I gave account ...",,,0,"['Education', 'maths']",27.0,
Ep0z0QTXvXA,How to Perform Linear Regression Analysis in Excel,In this video i will show you how to carried out linear regression analysis using Microsoft Excel software. Linear regression ...,,,0,"['Education', 'maths']",27.0,
