id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
WjwEh15M5Rw,"What is Agile? | Agile Methodology | Agile Frameworks - Scrum, Kanban, Lean, XP, Crystal | Edureka",#Edureka #DevOpsEdureka #AgileMethodlogy #DevOps #DevOpsCertificationTraining ...,,,0,"['Education', 'maths']",27.0,
NpCEjtKAa20,What is Agile?,Check out our courses: Complete Java Developer Course Batch-4: https://go.telusko.com/Complete4 Coupon: TELUSKO10 (10% ...,,,0,"['Education', 'maths']",27.0,
8eVXTyIZ1Hs,What Is Agile Methodology? | Introduction to Agile Methodology in Six Minutes | Simplilearn,This video on What is Agile Methodology by Simplilearn will give an introduction to Agile methodology in Six minutes. This video ...,,,0,"['Education', 'maths']",27.0,
oTZd2vo3FQU,What is Scrum? | Agile,Check out our courses: Complete Java Developer Course Batch-4: https://go.telusko.com/Complete4 Coupon: TELUSKO10 (10% ...,,,0,"['Education', 'maths']",27.0,
VFQtSqChlsk,Agile Scrum Full Course In 4 Hours | Agile Scrum Master Training | Agile Training Video |Simplilearn,"In this Scrum Full Course video, we'll teach you everything you need to know about Agile and Scrum. We'll be covering topics like ...",,,0,"['Education', 'maths']",27.0,
1iccpf2eN1Q,How the agile methodology really works,Follow InfoWorld to satisfy your tech business needs! ---------------------------------- SUBSCRIBE: ...,,,0,"['Education', 'maths']",27.0,
5OQV_g0Wlkk,Top 10 agile project manager interview questions and answers I project manager Interview questions,#agile #projectmanagement #pmp #projectmanagement #projectmanager #SituationalInterview #servicedeliverymanager ...,,,0,"['Education', 'maths']",27.0,
ieQzH4HqgQE,PMP Exam 2025 : 100 Agile PMP Questions | The Best Way to Master Agile for PMP Exam Success,"This is one of the best videos we have created so far. With lot of research, talking to the students we have compiled 100 Agile ...",,,0,"['Education', 'maths']",27.0,
GY2YrKohR0A,Top 10 agile project manager interview questions and answers I project manager Interview questions,#agile #projectmanagement #pmp #projectmanagement #projectmanager #SituationalInterview #servicedeliverymanager ...,,,0,"['Education', 'maths']",27.0,
Xs6E-MAJbfE,Agile in Software Engineering,Subscribe to our new channel:https://www.youtube.com/@varunainashots ▻Software Engineering (Complete Playlist): ...,,,0,"['Education', 'maths']",27.0,
8T6b2NhCeUo,Agile Infomix | Redefining Ridhi Sidhi Group’s Real Estate Presence,"At Agile Infomix, we showcase real estate that truly stands out! Ridhi Sidhi Residency offers seamless connectivity and a prime ...",,,0,"['Education', 'maths']",27.0,
hGY4CE7Ecfw,Agile Methodology In Software Development | How To Explain Agile During An Interview | What Is Agile,Agile Methodology In Software Development | How To Explain Agile During An Interview | What Is Agile #agile #agilemethodology ...,,,0,"['Education', 'maths']",27.0,
6fKn4rgk4jM,What is Agile Methodology | What is Agile | Intellipaat,"If you've enjoyed this agile video, Like us and Subscribe to our channel for more similar informative videos and free tutorials.",,,0,"['Education', 'maths']",27.0,
kxk3Kg7LofY,Agile vs Scrum and Flaccid Scrum - Uncle Bob,scrum #agiledevelopment #agilemanifesto #robertmartin #unclebob #martinfowler #cleancode #softwaredevelopmenttips In this ...,,,0,"['Education', 'maths']",27.0,
4Ugsu2n2cLE,What is Agile? | Atlassian Answered,Agile is a way of working that allows teams to respond and adjust to change... but what does that mean? 0:00 Intro 0:37 What is ...,,,0,"['Education', 'maths']",27.0,
0wsZS6A2FLk,Waterfall vs Agile Methodology | Backend Software Developer,softwareengineer #softwaredeveloper #java #systemdesign.,,,0,"['Education', 'maths']",27.0,
Z9QbYZh1YXY,What is Agile?,"This short cartoon answers the question ""What Is Agile?"" and will give you the background to understand the Agile principles and ...",,,0,"['Education', 'maths']",27.0,
h2Xzq2fbafM,Agile Model | Agile Methodology | Scrum Process | Step By Step Practical Approach,Topics : ----------- 1) Agile Model 2) Agile Methodology 3) Scrum Process ######################### Udemy Courses: ...,,,0,"['Education', 'maths']",27.0,
8dGdIcyDk1w,Scrum Methodology | Agile Scrum Framework | Scrum Master Tutorial | Edureka,01:17 What is Scrum? 12:15 Scrum Framework 17:24 What is a Sprint? 25:00 Scrum Ceremonies 32:14 Conclusion ...,,,0,"['Education', 'maths']",27.0,
thsFsPnUHRA,Agile Project Management Tutorial | What Is Agile Project Management? | Simplilearn,This video on Agile Project Management will help us understand the basics of what is Agile Project Management covering all the ...,,,0,"['Education', 'maths']",27.0,
km7n3DI5IWk,Agile Management | Google Project Management Certificate,This video will prepare you for a career in Agile project management and introduce you to a specific Agile delivery framework ...,,,0,"['Education', 'maths']",27.0,
9K20e7jlQPA,You're doing agile wrong,Today we're going to talk about a key part of software development that doesn't involve writing software. ❤️ If you would like to ...,,,0,"['Education', 'maths']",27.0,
NqmRcxpYamA,What is Agile Model? | SDLC Model | Software Development/ Software Testing | Agile Principles,"Also, make sure you know the below answers 1. What is STLC? 3 What exactly do we do in smoke testing? 4 What exactly is ...",,,0,"['Education', 'maths']",27.0,
5RocT_OdQcA,Agile vs Waterfall: Choosing Your Methodology,"This short video explains the differences between Agile and Waterfall, and gives an example for both of them. Several years ago ...",,,0,"['Education', 'maths']",27.0,
zi7uGg6FVM4,Agile project management methodology explained (with burgers?!),"Agile ways of working have been proven to help deliver better, more high-quality products to customers, with generally faster ...",,,0,"['Education', 'maths']",27.0,
