id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
iVaFVa7HYj4,What is Kanban? - Agile Coach (2019),"In this video, we'll give you background on how the kanban methodology was developed, what its core principles are, and how it ...",,,0,"['Education', 'maths']",27.0,
KeukwUyLZdg,Kanban – simpleshow explains agile methods,Kanban is an agile method for production control using the pull principle. The procedure is based exclusively on the actual ...,,,0,"['Education', 'maths']",27.0,
mH48_b9G4t4,What is Kanban? | Principles & Benefits of Kanban.,"In this video, you are going to learn the 'KANBAN' methodology. Topics that I have covered are - 1. What is a kanban? Meaning ...",,,0,"['Education', 'maths']",27.0,
rIaz-l1Kf8w,Scrum vs Kanban - What's the Difference?,Scrum and Kanban have much in common - and some striking differences. Watch the video... and grab your FREE CHEAT SHEET ...,,,0,"['Education', 'maths']",27.0,
CD0y-aU1sXo,Agile Project Management with Kanban | Eric Brechner | Talks at Google,"There's a way to organize your work, stay focused, avoid mistakes, and be hyper-productive that you can learn in five minutes ...",,,0,"['Education', 'maths']",27.0,
zG0wBJQJaK8,What is Kanban? Kanban Visual Systems Explained in 4 stages Easily.,"Topics Discussed: Understanding Kanban, and Kanban Visual Systems Explained in 4 stages. Production Planning and Control ...",,,0,"['Education', 'maths']",27.0,
vU1Qp3dwnQs,What is Kanban? | Explained for Beginners in 6 Minutes,"In this video, you will learn the essentials of the Kanban method as we cover the following topics: 00:00 The history of kanban ...",,,0,"['Education', 'maths']",27.0,
R8dYLbJiTUE,"Intro to Kanban in Under 5 Minutes (What is Kanban, Learn Kanban)",What is Kanban? This video will help you learn the essentials of Kanban and how it relates to the Scrum software development ...,,,0,"['Education', 'maths']",27.0,
JCeQYXEwhac,Scrumban The Agile Hybrid That Brings the Best of Scrum and Kanban,Tired of the rigidity of Scrum but overwhelmed by the openness of Kanban? Discover how Scrumban strikes the perfect balance to ...,,,0,"['Education', 'maths']",27.0,
uKqpIqFOA70,What Is Kanban? | Introduction To Kanban | Kanban Tutorial | Agile Training | Simplilearn,"In this video, we'll explore Kanban, a dynamic project management methodology originating from Japanese manufacturing.",,,0,"['Education', 'maths']",27.0,
Eq0306zMUXs,Kanban Methodology In Agile | Kanban Tutorial | Agile Training For Beginners | Simplilearn,Kanban is a visual project management and workflow management methodology that originated from lean and agile principles.,,,0,"['Education', 'maths']",27.0,
0wOxPzwjSYU,Kanban vs Scrum | A quick guide,"Kanban and Scrum are two distinct methodologies used in project management, particularly in software development, but they ...",,,0,"['Education', 'maths']",27.0,
_GPq2t2hHlo,The Kanban View | monday.com tutorials,"In this video, Hannah shows you how to use The Kanban View on monday.com to organize and manage your workflow like a pro.",,,0,"['Education', 'maths']",27.0,
hIq-7itaUQo,Kanban Board Mastery with EdrawMind | From Chaos to Clarity,kanban #wondershare #edrawmindv12 #gurrutechsolutions #kanbanboard Download link：https://bit.ly/4g2q8Vc Black Friday ...,,,0,"['Education', 'maths']",27.0,
pxxmSLJj8FQ,Scrum vs Kanban | Differences & Similarities Between Scrum & Kanban | Invensis Learning,"This video on ""Scrum vs Kanban"" explains what is Scrum & Kanban. Then you will understand the differences and similarities ...",,,0,"['Education', 'maths']",27.0,
3IFQ3jkpMUE,Beginner's Guide to Kanban for IT Project Managers,Every IT Project Manager must know Kanban. But Kanban is simple only on the surface. There are lots of critical concepts under ...,,,0,"['Education', 'maths']",27.0,
Bcid33tgq8A,What is a Kanban Board? - Agile Coach (2019),"Kanban boards contain five key elements: Visual signals(cards), columns, WIP limits, a commitment point, and a delivery point.",,,0,"['Education', 'maths']",27.0,
Oux-frfCLCo,What is Kanban? - An Introduction to Visual Kanban System,Kanban is a visual system for managing work as it moves through a process. Kanban visualizes both the process (the workflow) ...,,,0,"['Education', 'maths']",27.0,
Lib1vFmfCng,What is Kanban? Kanban Explained with a Coffee Cup,There's a lot to be learned from what goes on in a Coffee Shop. You'll never look at that cup of Joe in the same way again.,,,0,"['Education', 'maths']",27.0,
7MDWfAsrrtw,Kanban Tutorial: How to Setup a Kanban Board | Project Management | Productivity Tools | Ed Tchoi,Kanban is a simple and effective project management tool that everyone can use. All you need to build a Kanban Board are: ...,,,0,"['Education', 'maths']",27.0,
cBraNRu-v4k,You are doing Kanban wrong,Should your team use Kanban? Is it better than Scrum? Find out what you absolutely need to do Kanban the right way. You can't ...,,,0,"['Education', 'maths']",27.0,
u74cpU8qo3E,Kanban System Explained with a Real Life Example,"Kanban System is explained in this video with a parallel with a restaurant. ✓ Lean Training: Easier, Better, Faster, and Cheaper ...",,,0,"['Education', 'maths']",27.0,
zEJn6eQO6FE,Kanban WIP limits - Agile Coach (2019),WIP limits work by setting a maximum number of kanban cards that can be in any one stage of kanban board concurrently. A WIP ...,,,0,"['Education', 'maths']",27.0,
HkBzSCpIR5I,Master Project Management with This Simple Framework | Weekly Task Breakdown Strategy | Sahil Khanna,"Tired of project delays, chaos, and last-minute stress? This video is your complete guide to planning a project from scratch to ...",,,0,"['Education', 'maths']",27.0,
