id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
j7T1m2Amc40,"Agile Scrum Roles Demystified: PO, Scrum Master, Dev Team","This video Explains the different Roles in a scrum Team, as well as their responsibilities. Scrum is a framework within which ...",,,0,"['Education', 'maths']",27.0,
UO0E10-3DeI,The 3 Scrum Roles And Their Responsibilities,"Who does what on a Scrum project? Learn about the 3 Scrum Roles: Scrum Master, product owner, and developers, plus a 4th ...",,,0,"['Education', 'maths']",27.0,
by0q3RoE7MY,Scrum Roles & Responsibilities #scrum #agile,"Hi everyone, in today's video, we're going to explore the various roles and responsibilities of a scrum team. This video is divided ...",,,0,"['Education', 'maths']",27.0,
iJ_sl6J8PRg,What is Scrum? | Scrum under 3 minutes,Master Scrum in Under 3 Minutes! Explore our Scrum and Agile training courses: https://www.knowledgehut.com/ Welcome to ...,,,0,"['Education', 'maths']",27.0,
oTZd2vo3FQU,What is Scrum? | Agile,"This Guide contains the definition of Scrum. This definition consists of Scrum's roles, events, artifacts, and the rules that bind them ...",,,0,"['Education', 'maths']",27.0,
9huSDGb78oo,What Are Scrum Roles | Scrum Team | Agilemania,Scrum is a framework that generates value through adaptive solutions for complex problems. It is an iterative and incremental ...,,,0,"['Education', 'maths']",27.0,
0_qbsJUGsfQ,Roles In Scrum,"As part of the Scrum Tapas video series, Professional Scrum Trainer Simon Reindl talks about what the Roles in Scrum using a ...",,,0,"['Education', 'maths']",27.0,
kmRfBl3p6PA,Scrum Master Roles and Responsibilities | Agile Scrum Roles,Dive Deep into the Scrum Framework Unlock the secrets of Scrum roles and responsibilities with a detailed breakdown of: ...,,,0,"['Education', 'maths']",27.0,
u8RGvL6uVd0,Scrum Accountabilities | Scrum Master Accountabilities| Responsibilities #scrum #scrummaster,"Hello Friends, Welcome back to our channel. This video is the 8th session of our ""Agile and Scrum Series"". It discusses the ...",,,0,"['Education', 'maths']",27.0,
HCLIWJULAWM,Scrum Master Roles and Responsibilities | Scrum Master Tutorial | Simplilearn,The Scrum Master role is a special role for an Agile Team member who spends much of her time helping other team members ...,,,0,"['Education', 'maths']",27.0,
SWDhGSZNF9M,Scrum in 20 mins... (with examples),"The main parts of a scrum workflow include the roles, artifacts and ceremonies. Scrum roles include Product Owner, Scrum Master ...",,,0,"['Education', 'maths']",27.0,
yf1_C2RBVBA,04 - Scrum Roles - Scrum Foundations eLearning Series,,,,0,"['Education', 'maths']",27.0,
xef_bCjoRCk,SCRUM Model in Software Engineering | Agile Technology,Subscribe to our new channel:https://www.youtube.com/@varunainashots ▻ Agile in Software Engineering: ...,,,0,"['Education', 'maths']",27.0,
UUYX6QRRZIo,Scrum Roles and Responsibilities,"Scrum is a lightweight framework that helps people, teams, and organizations create value through adaptive solutions for complex ...",,,0,"['Education', 'maths']",27.0,
otwDz8edsoc,Scrum Roles | Unraveling Scrum Roles In Just 3 Minutes | Roles in Agile Projects,"Scrum Roles | Job Titles in Scrum is explained in this short video along with Scrum Master, Product Owner and Development ...",,,0,"['Education', 'maths']",27.0,
pO3sOeV2UEY,Scrum roles guide under organization,"This video will take you through the important concepts in Scrum Roles. There are three core roles in scrum: Product Owner, ...",,,0,"['Education', 'maths']",27.0,
V2HMgCtzZps,Scrum Roles,"Learn about the three core roles in Scrum: Product Owner, Scrum Master, and Development Team. Understand the ...",,,0,"['Education', 'maths']",27.0,
K5fZdHdXbmw,Roles in the Scrum Team | Scrum Master | Product Owner | Development Team | The Scrum Roles,#PMP #AgileProjectManagement #PMCLounge.,,,0,"['Education', 'maths']",27.0,
rGPvKUEG7Nw,"What is Scrum? Different Scrum Roles, Ceremonies & Artifacts | Agile & Scrum Full Course - Part 7","This video briefly outlines what is Scrum. The video covers, What is Scrum? Scrum is defined as an agile framework designed for ...",,,0,"['Education', 'maths']",27.0,
y_fM1dAnpc8,"Scrum Master Beginners Quiz #3 | Collaboration & Communication, Supporting the Product Owner LEADUP","Scrum Master Quiz for Beginners | Test Your Agile & Scrum Knowledge! Are you preparing for a Scrum Master role, studying for ...",,,0,"['Education', 'maths']",27.0,
draXIoAsJyk,IT foundations e-course: typical roles and positions of IT professionals,"Welcome to our IT Fundamentals Course! In this beginner-friendly course, you'll get an overview of essential IT concepts and ...",,,0,"['Education', 'maths']",27.0,
fuxi--qOxHA,"""Zero Coding Required: Scrum Master Course | Unlock More Job Opportunities!""",9 DAYS TO GO! Ready to boost your career without needing coding skills? Our Scrum Master Course launching on April ...,,,0,"['Education', 'maths']",27.0,
PeZRcn0gsGw,YDS: Is the Scrum Master Role an Entry Level Job?,Is the Scrum Master Role an Entry Level Job? Let's explore the options this situation presents. All of this and more are discussed ...,,,0,"['Education', 'maths']",27.0,
t-YGlP9F_wM,"Scrum Roles: Product Owner, Scrum Master and Development Team",Introduction to the three key roles in a team delivering a product using the Agile/Scrum framework Now that you have a good idea ...,,,0,"['Education', 'maths']",27.0,
fnqeFjlxOK0,[Scrum 101] Scrum Roles and Responsibilities,"Scrum defines three different roles and responsibilities. These roles are; the Scrum Master, the Product Owner and the Team.",,,0,"['Education', 'maths']",27.0,
M_KAh7TNqzM,Scrum Roles and Responsibilities,"In this video, we will uncover the secrets of Scrum roles in project management. Starting with the Scrum Guidance Body (SGB) ...",,,0,"['Education', 'maths']",27.0,
5BF6GyJ7f9E,"Scrum Roles Explained: Product Owner, Scrum Master, and Development Team","Welcome back to Scrum Study. Today, we're diving into the Scrum Roles Guide, focusing on the essential roles within an ...",,,0,"['Education', 'maths']",27.0,
j2KfDVsIMLo,Understanding Scrum - Roles and Responsibilities (3 Minutes),"In this informative video, we delve into ""Understanding Scrum: Roles and Responsibilities,"" focusing on the key roles that make up ...",,,0,"['Education', 'maths']",27.0,
FCeH4fLgHQQ,PMP Exam Prep Scrum Roles for Agile with Aileen,"In this video, PMP Exam Prep Scrum Roles for Agile with Aileen, Aileen reviews the three required roles on a scrum team.",,,0,"['Education', 'maths']",27.0,
actA5BNnWJI,"What is SCRUM? (Scrum Roles Explained - Product Owner, Scrum Master, Team)",New 2021 Exam? Sign up: http://projectmanagementmasterclass.com Other courses: http://praizion.com Podcast: ...,,,0,"['Education', 'maths']",27.0,
b8WeOm5-C7s,The Scrum Roles,View all of the Scrum Roles as described by the Scrum Guide. https://www.agilegenesis.com/,,,0,"['Education', 'maths']",27.0,
LMwaT3gOs1s,AGILE | SCRUM | SCRUM ROLES,,,,0,"['Education', 'maths']",27.0,
2hmPRmVc9Ro,Scrum Roles Explained,Each role in Scrum has distinct responsibilities that are crucial for the success of the project. Let's dive into each one.,,,0,"['Education', 'maths']",27.0,
fXmBNcYumV0,SCRUM Roles and Responsibilities (Topic #06): PMI ACP Course Topics #productmanagement,"This topic, SCRUM Roles and Responsibilities is a part of our agile tutorial series ""PMI ACP Course Topics"". #scrum ...",,,0,"['Education', 'maths']",27.0,
rOuQ--wxwms,What are the 3 roles in a Scrum team? | Agile Avengers,What are the 3 roles in an agile Scrum team? Product Owner Scrum Master Team Member Ben and Amy summarise them as part ...,,,0,"['Education', 'maths']",27.0,
ZGNmVnyor9k,"Three Roles of Scrum -- Scrum Master, Product Owner, & Team",Be sure to SUBSCRIBE to my channel and let me know what topic you would like me to cover next. Thanks for the support! Scrum ...,,,0,"['Education', 'maths']",27.0,
yk1BWeUKDnY,Scrum Team Roles EXPLAINED by Top Business Analyst,In today's Business Analyst Training we are talking about Scrum roles and who you will be working with on the scrum team ...,,,0,"['Education', 'maths']",27.0,
Tcnq2SgVzGw,What are the Scrum Roles on Scrum team? - Scrum Master / Leading SAFe Interview Questions,Scrum team roles are explained in this video.,,,0,"['Education', 'maths']",27.0,
Yud2o4a3ZuY,How Do Scrum Roles Drive Team Success?,"In this video, we break down the key accountabilities in Scrum: the Developers, Product Owners, and Scrum Masters. Discover ...",,,0,"['Education', 'maths']",27.0,
9Zz9O4UKr3s,Scrum Roles - Overview | PSM1 | PSPO1,Scrum Guide describes three roles : - Scrum Master - Developers - Product Owner The complete course is available on Udemy ...,,,0,"['Education', 'maths']",27.0,
wEs4mzoCkZ0,"Scrum Roles, Events and Artifacts","Scrum Roles, Events and Artifacts.",,,0,"['Education', 'maths']",27.0,
eJAwy60NhII,001 Introduction to Scrum Roles,,,,0,"['Education', 'maths']",27.0,
87ZLf9l8OKI,Scrum Roles,Scrum Team Roles More: http://all4agile.com.,,,0,"['Education', 'maths']",27.0,
6l_lSRNp3yA,Scrum Roles and Responsibilities,"Understanding Scrum Roles | Product Owner, Scrum Master, and Development Team In this video, we dive into the key roles ...",,,0,"['Education', 'maths']",27.0,
gbmO74RHX2A,Scrum Roles Summary | Complete Course | PSM1 | PSPO1,This video will summarize the three Scrum roles. - Scrum Master - Product Owner - Developers The complete course is available ...,,,0,"['Education', 'maths']",27.0,
Cv46Nxps93I,Scrum Skills: Introducing Scrum Roles Course Preview,"Join Pluralsight author Derek Davidson as he walks you through a preview of his ""Introducing Scrum Roles"" course found only on ...",,,0,"['Education', 'maths']",27.0,
mz-u-XoGn7Y,Roles and Responsibilities in a Scrum Team | Agile Certified Practitioner,The Roles and Responsibilities when working in a Scrum team | Agile Certified Practitioner.,,,0,"['Education', 'maths']",27.0,
X2pu7GtF0yg,"What is Scrum? part 1 of 2 | Scrum roles, Scrum events, Scrum ceremonies, Scrum artifacts in scrum","In this video I will be speaking on What is scrum? What are the Scrum roles, Scrum events, Scrum ceremonies, Scrum artifacts in ...",,,0,"['Education', 'maths']",27.0,
vkdZCTlld40,Scrum - Roles,"Learn all about SCRUM, one of the most popular Agile methodologies! This video breaks down the basics of Scrum, including ...",,,0,"['Education', 'maths']",27.0,
VYnGf2G4ywQ,UNDERSTAND SCRUM ROLES AND RESPONSIBILITIES IN AGILE TO AVOID CONFUSION,"The three Scrum Roles: Scrum Master, Product Owner and Developer explained by an Agile Practitioner Do you want to know the ...",,,0,"['Education', 'maths']",27.0,
aflvj3bZD3Y,What are the 3 roles in Scrum -Agile in 2023? | Product owner | Scrum Master | Team,"In this video, I'm going to discuss the three roles in Scrum -Agile in 2023. I'll discuss the product owner, the scrum master, and the ...",,,0,"['Education', 'maths']",27.0,
Uj6v0-P1bDA,Scrum Roles,"Within this video we discuss the three core Scrum roles (Scrum Project Roles). Don't forget to Subscribe and Like for more videos, ...",,,0,"['Education', 'maths']",27.0,
48KWlZdSvy0,Scrum Roles Scrum Roles A v1,,,,0,"['Education', 'maths']",27.0,
jt32Y6-3YP0,6. Scrum Roles - Product Owner and Developers - CSM Certification,"Here you go, I explain the Product Owner and Developers role in the Scrum Team.",,,0,"['Education', 'maths']",27.0,
GWhJjTTOJ7M,Scrum Project Roles #Scrum #Roles #Agile,"Understand the distinct roles within a Scrum project! #3 This video breaks down each role's responsibilities, from the Product ...",,,0,"['Education', 'maths']",27.0,
nF0-OwLOu8U,Scrum Roles: Scrum Master. Agile project management,Scrum: in general Express Scrum course + Tips on how to get started quickly Link to the full course: ...,,,0,"['Education', 'maths']",27.0,
6YoNFSAoRcg,"Episode 3: Understanding Scrum Roles: Product Owner, Scrum Master, Developers - Syed Imon Rizvi","Episode 3: Understanding Scrum Roles: Product Owner, Scrum Master, Developers - Syed Imon Rizvi Get ready to learn about ...",,,0,"['Education', 'maths']",27.0,
fIY-yi4ckkE,Scrum Roles Explained - Agile Coach (2018),0:41 Definition of scrum product owners 0:56 Definition of scrum masters 1:13 Definition of development teams Make sure to ...,,,0,"['Education', 'maths']",27.0,
VkJ0BQogtFU,Various SCRUM Roles,There are specific roles in a SCRUM Team. Let us understand what they do. #Agile #SCRUM #Roles My podcast: ...,,,0,"['Education', 'maths']",27.0,
