id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
9TycLR0TqFA,Introduction to Scrum - 7 Minutes,What is Agile Scrum? This video will get you started with the details to you need to start working with Scrum. Visit http:--Uzility.com ...,,,0,"['Education', 'maths']",27.0,
oTZd2vo3FQU,What is Scrum? | Agile,Check out our courses: Complete Java Developer Course Batch-4: https://go.telusko.com/Complete4 Coupon: TELUSKO10 (10% ...,,,0,"['Education', 'maths']",27.0,
iJ_sl6J8PRg,What is Scrum? | Scrum under 3 minutes,Master Scrum in Under 3 Minutes! Explore our Scrum and Agile training courses: https://www.knowledgehut.com/ Welcome to ...,,,0,"['Education', 'maths']",27.0,
DbCvs-60ytM,What is Scrum? | Scrum in 20 Minutes | Scrum Master Training | Edureka,1:15 - Agile Methodology 3:44 - What is Scrum 5:50 - History of Scrum 6:40 - Scrum Roles 8:49 - Scrum Artifacts 12:13 - How ...,,,0,"['Education', 'maths']",27.0,
SWDhGSZNF9M,Scrum in 20 mins... (with examples),This Scrum tutorial will explain how to use this agile like software development method to apply for your next project. Scrum ...,,,0,"['Education', 'maths']",27.0,
8dGdIcyDk1w,Scrum Methodology | Agile Scrum Framework | Scrum Master Tutorial | Edureka,01:17 What is Scrum? 12:15 Scrum Framework 17:24 What is a Sprint? 25:00 Scrum Ceremonies 32:14 Conclusion ...,,,0,"['Education', 'maths']",27.0,
SyIN_YMfoQs,Scrum Master Full Course | Scrum Master Certifications Training | Scrum Master Tutorial |Simplilearn,"In this scrum master full course, join as we take you through some of the most important concepts of the Scrum Methodology.",,,0,"['Education', 'maths']",27.0,
VFQtSqChlsk,Agile Scrum Full Course In 4 Hours | Agile Scrum Master Training | Agile Training Video |Simplilearn,"In this Scrum Full Course video, we'll teach you everything you need to know about Agile and Scrum. We'll be covering topics like ...",,,0,"['Education', 'maths']",27.0,
NZ4JP7GEsf4,[2025] scrum master interview questions and answers ⭐ scrum master interview questions 6/6,Free Downloads - https://topmate.io/sunand_sharrma 1o1 Connect - https://topmate.io/sunand_sharrma PART-1/6 ...,,,0,"['Education', 'maths']",27.0,
4Lf84aQdRwo,[2025] scrum master interview questions and answers ⭐ scrum master interview questions,Free Downloads - https://topmate.io/sunand_sharrma 1o1 Connect - https://topmate.io/sunand_sharrma Please Hit and ...,,,0,"['Education', 'maths']",27.0,
