id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
AaCnBOqyvIM,Next.js rocked by critical 9.1 level exploit...,Get up to 67% off VPS at Hostinger. Use code FIRESHIP for an extra discount at https://hostinger.com/fireship Technical ...,,,0,"['Education', 'maths']",27.0,
dL1a0KcAW3Y,the CRITICAL 9.1 severity Next.js vulnerability,The researchers' writeup: https://zhero-web-sec.github.io/research-and-things/nextjs-and-the-corrupt-middleware Learn ...,,,0,"['Education', 'maths']",27.0,
Sklc_fQBmcs,Next.js in 100 Seconds // Plus Full Beginner's Tutorial,#react #webdev #100SecondsOfCode Next.js Docs https://nextjs.org/ Source Code https://github.com/fireship-io/nextjs-basics ...,,,0,"['Education', 'maths']",27.0,
Zq5fmkH0T78,Next.js 15 Crash Course | Build and Deploy a Production-Ready Full Stack App,"In this course, you'll master Next.js, the official React framework, and learn essential concepts like routing, rendering, and ...",,,0,"['Education', 'maths']",27.0,
O8ivm7403rk,Master Next JS in easy way,Learn the most important concepts of Next JS in simple and easy manner. ✉️ Reach out to us at: ...,,,0,"['Education', 'maths']",27.0,
ZVnjOPwW4ZA,Next js Tutorial for Beginners | Nextjs 13 (App Router) with TypeScript,"Master Next.js 13 and build amazing full-stack apps! This beginner-friendly tutorial covers the new App Router, TypeScript, and ...",,,0,"['Education', 'maths']",27.0,
JbF_8g1EXj4,easy authorization bypass found in popular web framework (9.1 CVSS),Middleware Authorization? Never heard of her. https://nextjs.org/docs/app/building-your-application/routing/middleware ...,,,0,"['Education', 'maths']",27.0,
syv9bHfDJn0,"Next.js CRUD App with Supabase 🚀 | Authentication (Email, Google, Github) & Storage","Next.js 15 + Supabase Full Course: CRUD App with Authentication & File Upload In this complete tutorial, you'll learn how to build ...",,,0,"['Education', 'maths']",27.0,
iNSf_7RyaXw,Next JS Full Course with Project | Tamil,"Discover the power of Next.js with this comprehensive tutorial on creating a blog project from scratch! In this video, we'll explore ...",,,0,"['Education', 'maths']",27.0,
D_Tt39FEIiU,HUGE Next.js Authorization Bypass... Are You Safe? (9.1 CVSS),Next.js just had one of the most critical vulnerabilities in its history – a middleware authorization bypass rated 9.1 in severity.,,,0,"['Education', 'maths']",27.0,
_EgI9WH8q1A,Learn Next.js 15 in 1 hour - Beginner Tutorial,"Business - codevolution.business@gmail.com Next.js 15 Crash Course - Tutorial for Beginners Learn Next.js 15, the React ...",,,0,"['Education', 'maths']",27.0,
__mSgDEOyv8,Next.js 13 - The Basics,Learn about all the new features in Next.js version 13 with a full tutorial. We build a beginner-friendly CRUD app from scratch ...,,,0,"['Education', 'maths']",27.0,
vwSlYG7hFk0,NextJS Tutorial - All 12 Concepts You Need to Know,⏱️ Timestamps: 0:00 Intro 0:29 Next.js fresh install 2:33 Routing & navigation 5:00 Metadata 5:24 Styling: Tailwind CSS 6:28 ...,,,0,"['Education', 'maths']",27.0,
LkDelp5WWYU,the most important Next.js features to learn (in 8 minutes),Become a YT Members to get extra perks! https://www.youtube.com/channel/UCsrVDPJBYeXItETFHG0qzyw/join My Products ...,,,0,"['Education', 'maths']",27.0,
_9mTJ84uL1Q,Tailwind CSS Tutorial For Beginners in Hindi | Tailwind CSS in One Shot By Hitesh Choudhary,Tailwind CSS is a CSS framework that simplifies creating beautiful and responsive websites by providing pre-designed styles and ...,,,0,"['Education', 'maths']",27.0,
oUmVFHlwZsI,MASTER Angular in 90 Minutes with This Crash Course,"This video is my tribute to all the legends who have created similar videos in the past :) From which I learnt a lot, and now I'm ...",,,0,"['Education', 'maths']",27.0,
GHTA143_b-s,NestJs Course for Beginners - Create a REST API,Learn NestJs by building a CRUD REST API with end-to-end tests using modern web development techniques. NestJs is a rapidly ...,,,0,"['Education', 'maths']",27.0,
KhO4VjaYSXU,Forms with React 19 and Next.js,Demo of building forms with the Next.js App Router and React 19 to answer questions like: 1. Why does the form clear out my ...,,,0,"['Education', 'maths']",27.0,
U13ctFsD6SM,Lame Next.js bug that can get your website hacked,WANT to create a business selling courses and content? Go here: https://fermion.app WANT to learn programming? Go here: ...,,,0,"['Education', 'maths']",27.0,
Igt89sDaboE,Next.js 15 is here! Does it fix Next 14?,"Next.js 15 stable was released on October 21st. What's new, what changes? Well ... it does definitely improve Next and fix various ...",,,0,"['Education', 'maths']",27.0,
eaQc7vbV4po,Complete Nextjs fullstack Authentication course,"Welcome to a youtube channel dedicated to programming and coding related tutorials. We talk about tech, write code, discuss ...",,,0,"['Education', 'maths']",27.0,
U13ctFsD6SM,Lame Next.js bug that can get your website hacked,WANT to create a business selling courses and content? Go here: https://fermion.app WANT to learn programming? Go here: ...,,,0,"['Education', 'maths']",27.0,
tSLCnixOU7w,Next JS Full Course for Beginners (2025) | Learn & Build a Mini Ecommerce App Project (Part-1),Next JS Full Course for Beginners (2025) | Learn & Build a Mini Ecommerce App Project (Part-1) Become a Full Stack Web ...,,,0,"['Education', 'maths']",27.0,
wm5gMKuwSYk,Next.js Full Course 2024 | Build and Deploy a Full Stack App Using the Official React Framework,"Next.js recently became the official React framework as outlined in React docs. In this course, you'll learn the most important ...",,,0,"['Education', 'maths']",27.0,
nxK_TCt2pKw,How to Create Full Stack E-Commerce App Using Next.js | Next JS Full Stack Ecommerce Project,"Learn How to Make a Full Stack E-Commerce Website Using Next.js | Full Stack eCommerce Project using Next Js, MongoDB, ...",,,0,"['Education', 'maths']",27.0,
kiPrrtclZOA,( PART 2 ) THE BIGGEST NEXT.JS 15 COURSE ON THE INTERNET,If You Want To Support My Work https://www.youtube.com/channel/UCbBt6Ks7M5BZx_GHgGO_UNQ/join Follow Me On ...,,,0,"['Education', 'maths']",27.0,
OraDy98gB0o,"I built easier Feedback with NextJS, Drizzle & better-auth | FasterFeedback.app",Feedback should be really simple and open. I built a solution for it during the better part of a weekend and want to share how I did ...,,,0,"['Education', 'maths']",27.0,
OwY6vgdOGZY,🚀 Build & Deploy a Next.js Web3 Project | UI/UX & Smart Contract Integration,Next.js Web3 Project | UI/UX & Smart Contract Source Code: ...,,,0,"['Education', 'maths']",27.0,
