id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
__Uw1SXPW7s,Introduction to integral calculus | Accumulation and Riemann sums | AP Calculus AB | Khan Academy,"The basic idea of Integral calculus is finding the area under a curve. To find it exactly, we can divide the area into infinite ...",,,0,"['Education', 'maths']",27.0,
IFlXeFwA_2A,BASIC Math Calculus – Understand Simple Calculus with just Basic Math in 5 minutes!,BASIC Math Calculus – AREA of a Triangle - Understand Simple Calculus with just Basic Math! Calculus | Integration | Derivative ...,,,0,"['Education', 'maths']",27.0,
rfG8ce4nNh0,"Integration and the fundamental theorem of calculus | Chapter 8, Essence of calculus",Timestamps: 0:00 - Car example 8:20 - Areas under graphs 11:18 - Fundamental theorem of calculus 16:20 - Recap 17:45 ...,,,0,"['Education', 'maths']",27.0,
IQ15BnVUgis,Integration (Calculus),,,,0,"['Education', 'maths']",27.0,
Fc5Q7FMvdgA,MATHS INTEGRAL CALCULUS,Integrate... #maths #calculus.,,,0,"['Education', 'maths']",27.0,
PXqr58HEXiM,Integral of so many e's (Berkeley Math Tournament Integral Bee 2024),This integral is from the integration bee activity during the Berkeley Math Tournament this year. How do we evaluate the integral of ...,,,0,"['Education', 'maths']",27.0,
925SY-xvuj8,INDEFINITE INTEGRATION in One Shot: All Concepts & PYQs Covered | JEE Main & Advanced,MANZIL COMEBACK: https://physicswallah.onelink.me/ZAZB/2ng2dt9v JEE Ultimate CC 2025: ...,,,0,"['Education', 'maths']",27.0,
3zLQfuMZMF4,Integration By Parts Full Explanation in 4 minutes,Integration by parts is used when integrating a product of function whose factors are different. Integration by parts is the reverse of ...,,,0,"['Education', 'maths']",27.0,
N2XDRtLrK_E,Complex Numbers Class 11th | Full Chapter | Quadratic Equations One Shot | Dear Sir Maths,"Welcome to your YouTube video on ""Complex Numbers Class 11th | Full Chapter | Quadratic Equations One Shot""!",,,0,"['Education', 'maths']",27.0,
TgS3u1-xn-A,1. Double Integrals | Lecture 01 | Multiple Integrals | Engineering Mathematics,"If you're an engineering student or practitioner, In this video, we'll cover some of the basic problems that you might encounter ...",,,0,"['Education', 'maths']",27.0,
NABSizporEk,"🔥 Marathon – Matrices & Determinants ,Integration, Differential Equations | Class 12 | JEE | MHT-CET",Teaser: https://youtu.be/bAXKq3slzQA MHT-CET Online Crash Course (Grade 12 & Droppers) – https://vdnt.in/GGsfk ...,,,0,"['Education', 'maths']",27.0,
