id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
IHZwWFHWa-w,"Gradient descent, how neural networks learn | DL2","This video was supported by Amplify Partners. For any early-stage ML startup founders, Amplify Partners would love to hear from ...",,,0,"['Entertainment', 'memes']",27,
qg4PchTECck,Gradient Descent in 3 minutes,Visual and intuitive overview of the Gradient Descent algorithm. This simple algorithm is the backbone of most machine learning ...,,,0,"['Entertainment', 'memes']",27,
sDv4f4s2SB8,"Gradient Descent, Step-by-Step",Gradient Descent is the workhorse behind most of Machine Learning. When you fit a machine learning method to a training ...,,,0,"['Entertainment', 'memes']",27,
i62czvwDlsw,Gradient Descent Explained,Gradient descent is an optimization algorithm which is commonly-used to train machine learning models and neural networks.,,,0,"['Entertainment', 'memes']",27,
QoK1nNAURw4,Machine Learning Crash Course: Gradient Descent,Gradient descent is an algorithm used to train machine learning models by iteratively optimizing their parameter values. In this ...,,,0,"['Entertainment', 'memes']",27,
Anc2_mnb3V8,Gradient Descent vs Evolution | How Neural Networks Learn,Explore two learning algorithms for neural networks: stochastic gradient descent and an evolutionary algorithm known as a local ...,,,0,"['Entertainment', 'memes']",27,
UmathvAKj80,STOCHASTIC Gradient Descent (in 3 minutes),Visual and intuitive Overview of stochastic gradient descent in 3 minutes. ------------------- References: - The third explanation is ...,,,0,"['Entertainment', 'memes']",27,
AeRwohPuUHQ,22. Gradient Descent: Downhill to a Minimum,Gradient descent is the most common optimization algorithm in deep learning and machine learning. It only takes into account the ...,,,0,"['Entertainment', 'memes']",27,
QhSI9wo9f7I,IAIFI Colloquium: Many-Fold Learning,"Akshunna Dogra, Incoming IAIFI Fellow, (PhD Student, Imperial College London) Many-fold Learning Iterative optimization ...",,,0,"['Entertainment', 'memes']",27,
iudXf5n_3ro,MOMENTUM Gradient Descent (in 3 minutes),Learn how to use the idea of Momentum to accelerate Gradient Descent. ---------------- References: - Lectures on Convex ...,,,0,"['Entertainment', 'memes']",27,
vMh0zPT0tLI,"Stochastic Gradient Descent, Clearly Explained!!!","Even though Stochastic Gradient Descent sounds fancy, it is just a simple addition to ""regular"" Gradient Descent. This video sets ...",,,0,"['Entertainment', 'memes']",27,
FpDsDn-fBKA,Tutorial 12- Stochastic Gradient Descent vs Gradient Descent,"Below are the various playlist created on ML,Data Science and Deep Learning. Please subscribe and support the channel. Happy ...",,,0,"['Entertainment', 'memes']",27,
Souzjv6WfrY,Building the Gradient Descent Algorithm in 15 Minutes | Coding Challenge,"What's happening guys, welcome to the second episode of CodeThat! In this ep I try to build a regression machine learning model ...",,,0,"['Entertainment', 'memes']",27,
vsWrXfO3wWw,Machine Learning Tutorial Python - 4: Gradient Descent and Cost Function,"In this tutorial, we are covering few important concepts in machine learning such as cost function, gradient descent, learning rate ...",,,0,"['Entertainment', 'memes']",27,
